paragraph,final_label,confidence,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning
"problem solving Poing Itti + It = 25, and Ntit-lt-5. then it x Itt =?",NA,CONFIRMED,NA,"The paragraph presents a problem-solving task with equations and asks for a solution. There is no indication of a student's error, comparison of methods, explicit error detection, or common mistake alerts. It is a standard problem set.",NA,"The text is only a problem statement with no mention of errors, student work, or warnings; it does not fit any error-focused categories."
"Each day brings you a new concept, but you'll only have to learn a small part of it now. You'll be building on this concept throughout the year so that you understand and remember it by test time.",NA,CONFIRMED,NA,"The paragraph discusses the structure of learning concepts over time and building understanding, but does not mention any specific errors, incorrect work, or common mistakes to detect. It is general advice about the learning process rather than error-focused pedagogy.",NA,"The paragraph gives general instructional motivation and does not mention errors, mistakes, or compare student work."
Get Active! Dig into math with a hands-on activity. Explore a math concept with your friends as you work together and use manipulatives to see new connections in mathematics.,NA,CONFIRMED,NA,"The paragraph describes a hands-on activity for exploring a math concept through collaboration and manipulatives. It does not mention errors, corrections, comparisons of student work, or warnings about common mistakes. It is standard instructional text encouraging active learning.",NA,"The paragraph describes a collaborative hands‑on activity and contains no mention of errors, mistakes, or comparing student work."
"c. The distance from the center to the circle d. Explain If the diameter of a circle is 10 in., what is its radius? Describe how you know.",NA,CONFIRMED,NA,"The paragraph is a standard problem asking for the radius of a circle given its diameter. There is no mention of errors, conflicting student answers, or common mistakes. It is a typical math problem without error-focused pedagogy.",NA,"The paragraph asks a straightforward geometry question about radius, with no mention of errors, mistakes, or comparing student work."
Written Practice Strengthening Concepts 1. Analyze What is the product of the sum of 55 and 45 and the difference of 55 and 45? (12),NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking for the product of the sum and difference of two numbers. There is no mention of errors, student work to correct, or comparisons between methods. It is a typical exercise in the 'Written Practice' section.",NA,"The paragraph presents a standard practice problem asking for a calculation, with no mention of errors, mistakes, or comparison of student work."
"* 2. Potatoes are three-fourths water. If a sack of potatoes weighs 20 pounds, how many pounds of water are in the potatoes? Draw a diagram to illustrate the problem. (22)",NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking to calculate the weight of water in potatoes. There is no mention of errors, incorrect student work, conflicting answers, or common mistakes. It is a straightforward problem without error-focused pedagogy elements.",NA,"The paragraph presents a standard word problem asking for a calculation and a diagram, with no mention of errors, corrections, or comparing student work."
"3. Formulate There were 306 students in the cafeteria. After some went outside, there were 249 students left in the cafeteria. How many students went outside? Write an equation and solve the problem. (11)",NA,CONFIRMED,NA,"The paragraph presents a standard math problem asking the reader to write an equation and solve it. There is no mention of errors, incorrect work, comparisons between students, or common mistakes. It is a typical problem-solving task.",NA,"The paragraph presents a standard word problem asking students to write and solve an equation, with no focus on errors."
"* 4. a. If the diameter of a circle is 5 in., what is the radius of the circle? b. What is the relationship of the diameter of a circle to its radius? (27)",NA,CONFIRMED,NA,"The paragraph presents standard math problems asking for calculations and relationships related to a circle's diameter and radius. There is no mention of errors, incorrect work, comparisons between students/methods, or warnings about common mistakes.",NA,"The paragraph asks a standard geometry question about radius and relationship, with no mention of errors, corrections, or comparisons."
5. Classify Which of these numbers is divisible by both 2 and 3? A 122 B 123 C 132 (21),NA,CONFIRMED,NA,"The paragraph is a standard math problem asking to classify numbers based on divisibility. It does not present any student errors, comparisons, explicit error detection tasks, or common mistake warnings.",NA,"The paragraph is a straightforward multiple‑choice question asking which number is divisible by both 2 and 3, with no mention of errors, student work, or comparisons."
"6. Round 1,234,567 to the nearest ten thousand. (16)",NA,CONFIRMED,NA,"The paragraph is a standard rounding problem without any mention of errors, incorrect work, or comparisons between different approaches. It does not include error-focused pedagogy elements.",NA,"The sentence is a simple instruction to round a number, with no mention of errors, mistakes, or comparison of student work."
"7. Formulate If ten pounds of apples costs $12.90, what is the price per pound? Write an equation and solve the problem. (15)",NA,CONFIRMED,NA,"The paragraph presents a standard problem-solving task without any mention of errors, incorrect work, or common mistakes. Students are asked to formulate an equation and solve it, which is typical textbook content.",NA,"The paragraph is a standard word problem asking to write and solve an equation, with no mention of errors, mistakes, or comparisons."
8. What is the denominator of ? (6),NA,CONFIRMED,NA,"The paragraph is a standard math question asking for the denominator, with a number in parentheses possibly indicating the answer or a problem number. There is no mention of errors, incorrect student work, comparisons between methods, or warnings about common mistakes.",NA,"The text is a straightforward question asking for a denominator, with no mention of errors, student work, or comparisons."
* 9. Model What number is of 65? Draw a diagram to illustrate the problem. (22),NA,CONFIRMED,NA,"The paragraph is a standard problem set asking students to model a mathematical question and draw a diagram. It does not present errors, compare conflicting approaches, or warn about common mistakes. There is no explicit focus on error detection or correction.",NA,"The paragraph is a standard problem prompt asking students to model and draw a diagram, with no mention of errors or comparisons."
* 10. Model How much money is of $15? Draw a diagram to illustrate the problem. (22),NA,CONFIRMED,NA,"The paragraph is a standard problem asking students to model a math problem and draw a diagram. There is no mention of errors, incorrect work, or common mistakes to detect or compare.",NA,"The text is a standard instruction to model a problem and draw a diagram, with no mention of errors, mistakes, or contrasting student work."
"Dear Student, We study mathematics because of its importance to our lives. Our school schedule, our trip to the store, the preparation of our meals, and many of the games we play involve mathematics. You will find that the word problems in this book are often drawn from everyday experiences. As you grow into adulthood, mathematics will become even more important. In fact, your future in the adult world may depend on the mathematics you have learned. This book was written to help you learn mathematics and to learn it well. For this to happen, you must use the book properly. As you work through the pages, you will see that similar problems are presented over and over again. Solving each problem day after day is the secret to success. Your book is made up of daily lessons and investigations. Each lesson has three parts. 1. The first part is a Power Up that includes practice of basic facts and mental math. These exercises improve your speed, accuracy, and ability to do math “in your head.” The Power Up also includes a problem-solving exercise to familiarize you with strategies for solving complicated problems. 2. The second part of the lesson is the New Concept. This section introduces a new mathematical concept and presents examples that use the concept. The Practice Set provides a chance to solve problems involving the new concept. The problems are lettered a, b, c, and so on. 3. The final part of the lesson is the Written Practice. This problem set reviews previously taught concepts and prepares you for concepts that will be taught in later lessons. Solving these problems helps you remember skills and concepts for a long time. Investigations are variations of the daily lesson. The investigations in this book often involve activities that fill an entire class period. Investigations contain their own set of questions instead of a problem set. Remember, solve every problem in every practice set, written practice set, and investigation. Do not skip problems. With honest effort, you will experience success and true learning that will stay with you and serve you well in the future.",NA,CONFIRMED,NA,"The paragraph provides general information about the structure and purpose of the textbook, emphasizing the importance of consistent practice and the components of each lesson. It does not present any specific errors, compare different approaches, or warn about common mistakes. The content is standard instructional guidance rather than error-focused pedagogy.",NA,"The paragraph is introductory instructional text about the book's purpose and structure, with no mention of errors, mistakes, or comparing student work."
"Saxon Math Course 1 is unlike any math book you have used! It doesn't have colorful photos to distract you from learning. The Saxon approach lets you see the beauty and structure within math itself. You will understand more mathematics, become more confident in doing math, and will be well prepared when you take high school math classes. Start off each lesson by practicing your basic skills and concepts, mental math, and problem solving. Make your math brain stronger by exercising it every day. Soon you'll know these facts by memory! Power Up Building Power facts Power Up E mental math a. Number Sense: 7 × 52 b. Number Sense: 6 × 33 c. Number Sense: 63 + 19 d. Number Sense: 256 + 50 e. Money: $10.00 - $7.25 f. Fractional Parts: of 86 g. Geometry: The perimeter of a square is 16 ft. What is the length of the sides of the square? h. Calculation: 8 × 8,1,7, x2, 2, ÷ 2",NA,CONFIRMED,NA,"The paragraph introduces the structure and goals of the Saxon Math Course 1 textbook, emphasizing daily practice and skill-building exercises. It includes standard Power Up problems (mental math, money, fractions, geometry) but does not present any student errors, comparisons, explicit error detection tasks, or warnings about common mistakes. The content is instructional and procedural, not focused on error correction.",NA,"The paragraph describes the Saxon Math approach and lists practice items; it contains no error identification, correction, comparison, or warning about common mistakes."
"Thinking Skill Verify Why is the diameter of a circle twice the length of the radius? There are several ways to measure a circle. We can measure the distance around the circle, the distance across the circle, and the distance from the center of the circle to the circle itself. The pictures below identify these measures. The circumference is the distance around the circle. This distance is the same as the perimeter of a circle. The diameter is the distance across a circle through its center. The radius is the distance from the center to the circle. The plural of radius is radii. For any circle, the diameter is twice the length of the radius.",NA,CONFIRMED,NA,"The paragraph explains the relationship between the diameter and radius of a circle but does not present an error to detect, compare conflicting approaches, or warn about common mistakes. It is standard explanatory content.",NA,"The paragraph explains concepts about circles without presenting errors, student work, or warnings about common mistakes."
"Activity Using a Compass Materials needed: compass and pencil plain paper A compass is a tool for drawing a circle. Here we show two types: To use a compass, we select a radius and a center point for a circle. Then we rotate the compass about the center point to draw the circle. In this activity you will use a compass and paper to draw circles with given radii. Thinking Skill Discuss Why do we use the length of a radius instead of a diameter to draw a circle? Represent Draw a circle with each given radius. How can you check that each circle is drawn to the correct size? a. 2 in. b. 3 cm c. 1 in.",NA,CONFIRMED,NA,"The paragraph describes an activity using a compass to draw circles and includes instructions for students to draw circles with specific radii. There is no mention of errors, incorrect work, common mistakes, or conflicting approaches. The content is standard instructional and activity-based, not focused on error detection or correction.",NA,"The paragraph provides a standard activity description and instructions for using a compass, with no mention of errors, mistakes, or comparing student work."
"Concentric circles are circles with the same center. A bull's-eye target is an example of concentric circles. d. Represent Draw three concentric circles with radii of 4 cm, 5 cm, and 6 cm.",NA,CONFIRMED,NA,"The paragraph defines concentric circles, provides an example, and includes a drawing instruction. There is no mention of errors, incorrect work, or comparisons between different approaches. It serves as standard instructional content.",NA,The paragraph defines concentric circles and asks the student to draw them; it contains no error detection or correction prompts.
"Example 1 What is the name for the perimeter of a circle? Solution The distance around a circle is its circumference. Example 2 If the radius of a circle is 4 cm, what is its diameter? Solution The diameter of a circle is twice its radius—in this case, 8 cm. Check It Out! The Practice Set lets you check to see if you understand today's new concept. Practice Set In problems a-c, name the described measure of a circle. a. The distance across a circle b. The distance around a circle",NA,CONFIRMED,NA,"The paragraph provides standard examples and definitions related to circles (perimeter as circumference, diameter calculation) followed by a practice set. There is no mention of errors, incorrect student work, conflicting approaches, or common mistakes. It serves as instructional content rather than error-focused pedagogy.",NA,"The paragraph presents definitions and practice questions without mentioning errors, student mistakes, or comparing student work."
"Exercise Your Mind! When you work the Written Practice exercises, you will review both today's new concept and also math you learned in earlier lessons. Each exercise will be on a different concept you never know what you're going to get! It's like a mystery game unpredictable and challenging. As you review concepts from earlier in the book, you'll be asked to use higher-order thinking skills to show what you know and why the math works. The mixed set of Written Practice is just like the mixed format of your state test. You'll be practicing for the ""big"" test every day!",NA,CONFIRMED,NA,"The paragraph discusses the structure and purpose of the Written Practice exercises, emphasizing review of concepts and preparation for tests. It does not present any specific errors, compare different approaches, or warn about common mistakes. It is standard motivational/explanatory text.",NA,"The paragraph describes the purpose and format of practice exercises and contains no mention of errors, student work, or comparisons."
Model Use your fraction manipulatives to help answer problems 11-18. 11. 1 ++ (Inv. 2) 66 65 13.66 (Inv. 2) 12. 7 3 (Inv. 2) 88 14.+ 2+5 (Inv. 2) 15. a. How many as are in 1? (Inv. 2) b. How many as are in ½? (Inv. 2) 17. What fraction is half of 1? (Inv. 2) 18. What fraction of a circle is 50% of a circle? (Inv. 2),NA,CONFIRMED,NA,"The paragraph presents a set of fraction-related problems for students to solve using manipulatives. There is no mention of errors, incorrect student work, comparisons between methods, or warnings about common mistakes. It is standard problem-set content.",NA,"The paragraph presents a list of practice problems using fraction manipulatives with no mention of errors, mistakes, or comparing student work, so it is standard textbook content."
"Become an Investigator! Dive into math concepts and explore the depths of math connections in the Investigations. Continue to develop your mathematical thinking through applications, activities, and extensions. In this investigation you will make a set of fraction manipulatives to help you answer questions in this investigation and in future problem sets. Activity Using Fraction Manipulatives Materials needed: • Investigation Activities 4-8 scissors envelope or zip-top bag to store fraction pieces Preparation: To make your own fraction manipulatives, cut out the fraction circles on the Investigation Activities. Then cut each fraction circle into its parts. Thinking Skill Connect What percent is one whole circle? Model Use your fraction manipulatives to help you with these exercises: 1. What percent of a circle is of a circle? 3. What fraction is half of 1? 4. Fit three pieces together to form of a circle. Three fourths of a circle is what percent of a circle? 5. Fit four pieces together to form of a circle. Four eighths of a circle is what percent of a circle? 6. Fit three pieces together to form of a circle. Three sixths of a circle is what percent of a circle? 7. Show that,, and each make one half of a circle. (We say that, , and all reduce to 2.) 8. The fraction equals which single fraction piece? 9. The fraction equals how many is? 10. The fraction equals which single fraction piece? 11. The fraction equals how many s? 12. The sum ++is. If you add and, what is the sum?",NA,CONFIRMED,NA,"The paragraph describes an activity using fraction manipulatives for problem-solving exercises but does not mention any errors, incorrect work, comparisons between students/methods, or warnings about common mistakes. It is standard instructional content.",NA,"The paragraph describes an activity to create manipulatives and solve fraction/percent problems, with no mention of errors, mistakes, or comparing student work."
"As we study mathematics we learn how to use tools that help us solve problems. We face mathematical problems in our daily lives, in our work, and in our efforts to advance our technological society. We can become powerful problem solvers by improving our ability to use the tools we store in our minds. In this book we will practice solving problems every day. This lesson has three parts: Problem-Solving Process The four steps we follow when solving problems. Problem-Solving Strategies Some strategies that can help us solve problems. Writing and Problem Solving Describing how we solved a problem or formulating a problem. Solving a problem is like arriving at a destination, so the process of solving a problem is similar to the process of taking a trip. Suppose we are on the mainland and want to reach a nearby island. Problem-Solving Process Step 1: Understand Know where you are and where you want to go. Taking a Trip We are on the mainland and want to go to the island. Problem-Solving Process Step 2: Plan Plan your route. Taking a Trip We might use the bridge, the boat, or swim. Problem-Solving Process Step 3: Solve Follow the plan. Taking a Trip Take the journey to the island. Problem-Solving Process Step 4: Check Check that you have reached the right place. Taking a Trip Verify that you have reached your desired destination. When we solve a problem, it helps to ask ourselves some questions along the way. Follow the Process Step 1: Understand Ask Yourself Questions What information am I given? What am I asked to find or do? Follow the Process Step 2: Plan Ask Yourself Questions How can I use the given information to solve the problem? What strategy can I use to solve the problem? Follow the Process Step 3: Solve Ask Yourself Questions Am I following the plan? Is my math correct? Follow the Process Step 4: Check (Look Back) Ask Yourself Questions Does my solution answer the question that was asked? Is my answer reasonable? Below we show how we follow these steps to solve a word problem. Example 1 Carla wants to buy a CD player that costs $48.70 including tax. She has saved $10.50. Carla earns $10 each weekend babysitting. How many weekends does she need to babysit to earn enough money to buy the CD player? Solution Step 1: Understand the problem. The problem gives the following information: • The CD player costs $48.70. • Carla has saved $10.50. • Carla earns $10.00 every weekend. We are asked to find out how many weekends Carla needs to babysit to have enough money to buy the CD player.",NA,CONFIRMED,NA,"The paragraph explains the problem-solving process and provides an example without presenting any errors, incorrect work, or conflicting approaches. It serves as standard instructional content rather than focusing on error detection or correction.",NA,"The paragraph describes problem‑solving steps and gives an example without mentioning any mistakes, errors, or comparing students' work."
"Step 2: Make a plan. We see that we cannot get to the answer in one step. We plan how to use the given information in a manner that will lead us toward the solution. One way to solve the problem is: • Find out how much more money Carla needs. • Then find out how many weekends it will take to earn the needed amount. Step 3: Solve the problem. (Follow the plan.) First we subtract $10.50 from $48.70 to find out how much more money Carla needs. Carla needs $38.20 more than she has. $48.70 cost - $10.50 Carla has $38.20 Carla needs Thinking Skill Verify What strategy did we use to find the number of weekends? Now we find the number of weekends Carla needs to work. One way is to divide $38.20 by $10.00. Another way is to find the multiple of $10.00 that gives Carla enough money. We can make a table to do this. Weekend 1 Weekend 2 Weekend 3 Weekend 4 $10 $20 $30 $40 After one weekend Carla earns $10, after two weekends $20, three weekends $30, and four weekends $40. Carla needs an additional $38.20. She will need to work four weekends to have enough money to buy the CD player. Step 4: Check your answer. (Look back.) We read the problem again to see if our solution answers the question. We decide if our answer is reasonable. The problem asks how many weekends Carla will need to work to earn the rest of the money for the CD player. Our solution, 4 weekends, answers the question. Our solution is reasonable because $40 is just a little over the $38.20 that Carla needs. After four weekends Carla has $10.50 + $40 = $50.50. This is enough money to buy the CD player.",NA,CONFIRMED,NA,"The paragraph describes a step-by-step problem-solving process for a math problem involving Carla earning money. It explains the correct method to solve the problem, including calculations and verification, but does not present any errors, incorrect student work, or comparisons between conflicting approaches. There is no explicit error detection or correction, nor warnings about common mistakes. The content is standard instructional text.",NA,"The paragraph outlines a step‑by‑step problem‑solving plan without presenting any student error, comparison, or warning about common mistakes, so it is standard instructional content."
"Example 2 Howard is planning to tile the top of an end table. The tabletop is 1 ft by 2 ft. He wants to show his initial “H” using the tiles. The 4-inch tiles come in black and white. How many tiles of each color does Howard need to cover the table with his initial? Solution Step 1: Understand the problem. The problem gives the following information: • The table is 1 ft × 2 ft. • The tiles are 4-inches on a side. • The tiles are black and white. • We need to model the letter ""H"". We are asked to find how many tiles of each color we need to show the letter ""H"" on the tabletop. Step 2: Make a plan. We see that we cannot get to the answer in one step. We plan how to use the given information in a manner that will lead us toward the solution. • Change the table dimensions to inches and determine how many tiles will cover the table. • Use tiles to model the tabletop and decide how many tiles are needed to show the letter ""H"". Thinking Skill Verify What strategy did we use to design the tabletop? Step 3: Solve the problem. (Follow the plan.) There are 12 inches in 1 foot, so the table is 12 in. by 24 in. 12 in. ÷ 4 in. = 3 24 in. ÷ 4 in. = 6 3 × 6 = 18 Howard needs 18 tiles to cover the table. How can we use 18 tiles to model the letter ""H""? Here are two possibilities. 10 white tiles, 8 black tiles 14 white tiles, 4 black tiles Since the problem does not specify the number of each color, we can decide based on the design we choose. Howard needs 10 white tiles and 8 black tiles. Step 4: Check your answer. (Look back.) We read the problem again to see if our solution answers the question. We decide if our answer is reasonable. The problem asks for the number of tiles of each color Howard needs to show his initial on the tabletop. Our solution shows the letter “H” using 10 white tiles and 8 black tiles.",NA,CONFIRMED,NA,"The paragraph presents a standard problem-solving example without any mention of errors, conflicting approaches, or common mistakes. It walks through the solution process and verifies the answer, but does not include error-focused pedagogy elements like correcting a student's mistake, comparing incorrect/incorrect approaches, or warning about common errors.",NA,"The paragraph presents a problem and solution steps without showing any student error, comparison, or warning about common mistakes."
1. List in order the four steps in the problem-solving process. 2. What two questions do we answer to understand a problem?,NA,CONFIRMED,NA,"The paragraph contains standard problem-solving questions asking for steps and questions related to understanding a problem. There is no mention of errors, incorrect work, comparisons between students/methods, or warnings about common mistakes.",NA,"The paragraph asks students to list steps and answer questions about problem solving; it contains no error detection, correction, or comparison of student work."
Refer to the following problem to answer questions 3–8. Mrs. Rojas is planning to take her daughter Lena and her friend Natalie to see a movie. The movie starts at 4:30 p.m. She wants to arrive at the theater 20 minutes before the movie starts. It will take 15 minutes to drive to Natalie's house. It is 10 minutes from Natalie's house to the theater. At what time should Mrs. Rojas leave her house? 3. Connect What information are we given? 4. Verify What are you asked to find? 5. Which step of the four-step problem-solving process did you complete when you answered questions 3 and 4? 6. Describe your plan for solving the problem. 7. Explain Solve the problem by following your plan. Show your work. Write your solution to the problem in a way someone else will understand. 8. Check your work and your answer. Look back to the problem. Be sure you use the information correctly. Be sure you found what you were asked to find. Is your answer reasonable?,NA,CONFIRMED,NA,"The paragraph presents a problem-solving scenario with guiding questions but does not include any explicit error detection, correction tasks, common error warnings, or contrasting student approaches. The 'Check your work' instruction is a standard problem-solving step, not an error-focused pedagogy.",NA,"The paragraph presents a word problem and prompts for problem‑solving steps; it does not present student errors, compare approaches, or warn about common mistakes."
"problem-solving strategies As we consider how to solve a problem we choose one or more strategies that seem to be helpful. Referring to the picture at the beginning of this lesson, we might choose to swim, to take the boat, or to cross the bridge to travel from the mainland to the island. Other strategies might not be as effective for the illustrated problem. For example, choosing to walk or bike across the water are strategies that are not reasonable for this situation. When solving mathematical problems we also select strategies that are appropriate for the problem. Problem-solving strategies are types of plans we can use to solve problems. Listed below are ten strategies we will practice in this book. You may refer to these descriptions as you solve problems throughout the year. Act it out or make a model. Moving objects or people can help us visualize the problem and lead us to the solution. Use logical reasoning. All problems require reasoning, but for some problems we use given information to eliminate choices so that we can close in on the solution. Usually a chart, diagram, or picture can be used to organize the given information and to make the solution more apparent. Draw a picture or diagram. Sketching a picture or a diagram can help us understand and solve problems, especially problems about graphs or maps or shapes. Write a number sentence or equation. We can solve many word problems by fitting the given numbers into equations or number sentences and then finding the unknown numbers. Make it simpler. We can make some complicated problems easier by using smaller numbers or fewer items. Solving the simpler problem might help us see a pattern or method that can help us solve the complex problem. Find a pattern. Identifying a pattern that helps you to predict what will come next as the pattern continues might lead to the solution. Make an organized list. Making a list can help us organize our thinking about a problem. Guess and check. Guessing the answer and trying the guess in the problem might start a process that leads to the answer. If the guess is not correct, use the information from the guess to make a better guess. Continue to improve your guesses until you find the answer. Make or use a table, chart, or graph. Arranging information in a table, chart, or graph can help us organize and keep track of data. This might reveal patterns or relationships that can help us solve the problem. Work backwards. Finding a route through a maze is often easier by beginning at the end and tracing a path back to the start. Likewise, some problems are easier to solve by working back from information that is given toward the end of the problem to information that is unknown near the beginning of the problem. 9. Name some strategies used in this lesson.",NA,CONFIRMED,NA,"The paragraph discusses general problem-solving strategies and does not focus on identifying or correcting errors, comparing conflicting approaches, or highlighting common mistakes. It serves as standard instructional content.",NA,"The paragraph lists general problem‑solving strategies and does not present any student work, errors, or warnings about common mistakes."
"The chart below shows where each strategy is first introduced in this textbook. Strategy Lesson Act It Out or Make a Model Problem Solving Overview Example 2 Use Logical Reasoning Lesson 3 Draw a Picture or Diagram Lesson 17 Write a Number Sentence or Equation Lesson 17 Make It Simpler Lesson 4 Find a Pattern Lesson 1 Make an Organized List Lesson 8 Guess and Check Lesson 5 Make or Use a Table, Chart, or Graph Problem Solving Overview Example 1 Work Backwards Lesson 84",NA,CONFIRMED,NA,"The paragraph describes a chart listing problem-solving strategies and their corresponding lessons/examples in the textbook. It does not present errors, incorrect student work, comparisons of differing approaches, or warnings about common mistakes. It serves as a reference guide rather than an error-focused pedagogical tool.",NA,"The paragraph merely lists instructional strategies and their lesson locations, with no mention of errors, mistakes, or student work to correct."
"writing and problem solving Sometimes, a problem will ask us to explain our thinking. This helps us measure our understanding of math. • Explain how you solved the problem. • Explain how you know your answer is correct. • Explain why your answer is reasonable. For these situations, we can describe the way we followed our plan. This is a description of the way we solved example 1. Subtract $10.50 from $48.70 to find out how much more money Carla needs. $48.70 – $10.50 = $38.20. Make a table and count by 10s to determine that Carla needs to work 4 weekends so she can earn enough money for the CD player.",NA,CONFIRMED,NA,"The paragraph provides general problem-solving strategies and an example of solving a problem, but does not focus on errors, corrections, or contrasting approaches. It is standard instructional content.",NA,"The paragraph describes how to explain problem‑solving steps and gives an example; it does not present an error, compare approaches, or warn about common mistakes."
10. Write a description of how we solved the problem in example 2.,NA,CONFIRMED,NA,"The paragraph is an instruction asking students to describe the solution method from Example 2. It does not involve identifying errors, comparing approaches, or warning about common mistakes. It is standard problem set content.",NA,"The prompt asks students to write a description of a solution process, with no mention of errors, mistakes, or comparing student work."
"Other times, we will be asked to write a problem for a given equation. Be sure to include the correct numbers and operations to represent the equation. 11. Write a word problem for the equation 32 + 32 = 64.",NA,CONFIRMED,NA,"The paragraph instructs students to create a word problem for a given equation without referencing any errors, incorrect work, or common mistakes. It is a standard problem-creation task, not focused on error detection or correction.",NA,"The paragraph simply instructs students to write a word problem for a given equation and does not involve error detection, correction, comparison, or warning about common mistakes."
Power Up Building Power facts Power Up A mental math a. Number Sense: 30 + 30 b. Number Sense: 300 + 300 c. Number Sense: 80 + 40 d. Number Sense: 800 + 400 e. Number Sense: 20 + 30 + 40 f. Number Sense: 200 + 300 + 400 g. Measurement: How many inches are in a foot? h. Measurement: How many millimeters are in a centimeter?,NA,CONFIRMED,NA,"The paragraph presents a list of mental math exercises and measurement questions without any indication of errors, conflicting approaches, or common mistakes. It is standard practice content without error-focused pedagogy.",NA,"The paragraph lists mental‑math practice problems with no mention of errors, corrections, or comparing students' work."
"problem solving Sharon made three square patterns using 4 coins, 9 coins, and 16 coins. If she continues forming larger square patterns, how many coins will she need for each of the next three square patterns? Understand We are given 4, 9, and 16 as the first three square numbers. We are asked to extend the sequence an additional three terms. Plan We will find the pattern in the first three terms of the sequence, then use the pattern to extend the sequence an additional three terms. Solve We see that the number of coins in each square can be found by multiplying the number of coins in each row by the number of rows: 2 × 2 = 4, 3 × 3 = 9, and 4 × 4 = 16. We use this rule to find the next three terms: 5 × 5 = 25, 6 × 6 = 36, and 7 × 7 = 49. Check We found that Sharon needs 25, 36, and 49 coins to build each of the next three squares in the pattern. We can verify our answers by drawing pictures of each of the next three terms in the pattern and counting the coins.",NA,CONFIRMED,NA,"The paragraph presents a standard problem-solving example where Sharon creates square patterns with coins. It explains the process of identifying the pattern (square numbers) and calculating the next terms. There is no mention of errors, incorrect student work, or common mistakes. The 'Check' section verifies the solution but does not involve error detection or correction.",NA,"The paragraph presents a standard problem and solution about extending a sequence of square numbers, without any mention of errors, corrections, or comparisons."
"New Concepts Increasing Knowledge adding whole numbers and money To combine two or more numbers, we add. The numbers that are added together are called addends. The answer is called the sum. Changing the order of the addends does not change the sum. For example, 3+5=5+3 This property of addition is called the Commutative Property of Addition. When adding numbers, we add digits that have the same place value. Example 1 Add: 345 + 67 Solution When we add whole numbers on paper, we write the numbers so that the place values are aligned. Then we add the digits by column. Changing the order of the addends does not change the sum. One way to check an addition answer is to change the order of the addends and add again. Example 2 Add: $1.25 + $12.50 + $5 Solution When we add money, we write the numbers so that the decimal points are aligned. We write $5 as $5.00 and add the digits in each column. Thinking Skill Connect $5 means five dollars and no cents. Why does writing $5 as $5.00 help when adding money amounts?",NA,CONFIRMED,NA,"The paragraph introduces concepts about addition, properties, and examples of adding whole numbers and money. It includes a 'Thinking Skill' question prompting reflection on aligning decimal points when adding money, but this is not framed as a common error or mistake. No student errors, conflicting approaches, or explicit error-detection tasks are present. The content is standard instructional material.",NA,"The paragraph explains concepts and procedures for addition without presenting errors, mistakes, or contrasting student work."
"If one of two addends is zero, the sum of the addends is identical to the nonzero addend. This property of addition is called the Identity Property of Addition. 5+0=5",NA,CONFIRMED,NA,"The paragraph explains the Identity Property of Addition with an example, providing a definition and illustration without referencing errors, student work, or comparisons. It is standard instructional content.",NA,"The paragraph simply defines the Identity Property of Addition and gives an example; it does not present an error, compare approaches, or warn about common mistakes."
"subtracting whole numbers and money We subtract one number from another number to find the difference between the two numbers. In a subtraction problem, the subtrahend is taken from the minuend. 5-3=2 In the problem above, 5 is the minuend and 3 is the subtrahend. The difference between 5 and 3 is 2. Verify Does the Commutative Property apply to subtraction? Give an example to support your answer. Example 3 Subtract: 345 - 67 Solution When we subtract whole numbers, we align the digits by place value. We subtract the bottom number from the top number and regroup when necessary. Example 4 Jim spent $1.25 for a hamburger. He paid for it with a five-dollar bill. Find how much change he should get back by subtracting $1.25 from $5. Solution Order matters when we subtract. The starting amount is put on top. We write $5 as $5.00. We line up the decimal points to align the place values. Then we subtract. Jim should get back $3.75. Thinking Skill When is it necessary to line up decimals? We can check the answer to a subtraction problem by adding. If we add the answer (difference) to the amount subtracted, the total should equal the starting amount. We do not need to rewrite the problem. We just add the two bottom numbers to see whether their sum equals the top number.",NA,CONFIRMED,NA,"The paragraph explains the concept of subtraction, provides examples, and discusses checking answers by addition. There is no mention of errors, incorrect student work, comparisons between methods, or warnings about common mistakes.",NA,"The paragraph explains subtraction concepts and asks a conceptual question about the commutative property, without presenting student errors, comparisons, or warnings about common mistakes."
"fact families, part 1 Addition and subtraction are called inverse operations. We can ""undo"" an addition by subtracting one addend from the sum. The three numbers that form an addition fact also form a subtraction fact. For example, 4+5=9 9-5=4 The numbers 4, 5, and 9 are a fact family. They can be arranged to form the two addition facts and two subtraction facts shown below. Example 5 Rearrange the numbers in this addition fact to form another addition fact and two subtraction facts. 11+14= 25 Solution We form another addition fact by reversing the addends. 14+11= 25 We form two subtraction facts by making the sum, 25, the first number of each subtraction fact. Then each remaining number is subtracted from 25. 25 11 = 14 25-14 11",NA,CONFIRMED,NA,"The paragraph explains the concept of fact families using correct examples and demonstrates how to rearrange numbers into addition and subtraction facts. There is no mention of errors, incorrect student work, or common mistakes to detect or correct.",NA,"The paragraph explains fact families and provides an example without mentioning student errors, comparisons, or warnings."
