paragraph,source
"m_ When the equation of a line is expressed in y=mx+b form, the parameter m gives the slope of the line. For example, the slope of the line y=-4x+7 is -4. margin of error Half of the spread between the upper and lower bounds of a statistical prediction. For example, if we predict weight is likely to be between an upper bound of 12 kg and lower bound of 18 kg, the margin of error is 3 kg, and we could write our prediction of the weight as 15+3kg.",probe
"Robin and Teryll each have $8,000 to invest and they disagree about the best place to start a savings account. Teryll found a savings and loan company that will guarantee a rate of 3.9% compounded monthly for the next 10 years. Robin says her bank is much better because they will give her 4% interest compounded semi-annually for the next ten years. In ten years, which account will end up with the greatest amount and how much difference is there?",probe
"This problem is a checkpoint for writing and solving exponential equations. g, \t will be referred to as Checkpoint 9A. When rabbits were first brought to Australia, they had no natural enemies. There were about 80,000 rabbits in 1866. Two years later, in 1868, the population had grown to over 2,400,000! a. Why would an exponential equation be a better model for this situation than a linear one? Would a sine function be better or worse? Write an exponential equation for the number of rabbits ¢ years after 1866. How many rabbits do you predict were present in 1871? According to your model, in what year was the first pair of rabbits introduced into Australia? e. Actually, 24 rabbits were introduced in 1859, so the model is not perfect, but is close. Is your exponential model useful for predicting how many rabbits there are now?",probe
let’s make a scatterplot with Fancyville on the x-axis and Smallville on the y-axis. Then we can draw a line of best fit and see if there is an association.” Ramien responded that it was a great idea! What is wrong with Cyrus and Ramien’s plan?,probe
"Recall that we find the area of a square by multiplying the length of a side of the square by itself. For example, the area of a square with sides 5 cm long is 5 cm × 5 cm, which equals 25 sq. cm. From the model of the square comes the expression 'squaring a number.' We square a number by multiplying the number by itself. 'Five squared' is 5 × 5, which is 25. An exponent is elevated and written to the right of a number. Read 5² as 'five squared.' To indicate squaring, we use the exponent 2. 5² = 25 'Five squared equals 25.' An exponent shows how many times the other number, the base, is to be used as a factor. In this case, 5 is to be used as a factor twice. a. What is twelve squared? b. Simplify: 3² + 4² a. “Twelve squared” is 12 × 12, which is 144. b. We apply exponents before adding, subtracting, multiplying, or dividing. 3² + 4² = 9 + 16 = 25 Analyze What step is not shown in the solution for b?",probe
"In parts (a) through (d) below, for each polynomial function f(x) , the graph of f(x) is shown. Based on this information, state the numbers of linear and quadratic factors the factored form of its equation should have and how many real and complex (non-real) solutions f(x)=0 might have. (Assume a polynomial function of the lowest possible degree for each one.)",probe
"Salina, Tamara, and Uma are working on their homework together. Salina tells her friends that she got 6 = 52° for the inverse cosine problem she is working on and asks if they got the same answer. Tamara says she got 6 =128°, and Uma volunteers her answer of 6 = 308°. Is it possible that these are all solutions to the same problem?",probe
"Early Finishers The surface of the Dead Sea is approximately 408 meters below sea level. Its greatest depth is 330 meters. In contrast, Mt. Everest reaches a height of 8,850 meters. What is the difference in elevation between the summit of Mt. Everest and the bottom of the Dead Sea? Show your work.",probe
"Decimal numbers are actually fractions. Their denominators come from the sequence 10, 100, 1000, .... The denominator of a decimal fraction is not written. Instead, it is indicated by the number of decimal places. One decimal place indicates that the denominator is 10. 0.3 = 3/10. Two decimal places indicate that the denominator is 100. 0.03 = 3/100. Three decimal places indicate that the denominator is 1000. 0.003 = 3/1000. Notice that the number of zeros in the denominator equals the number of decimal places in the decimal number. A quart is 0.25 gallons. Write 0.25 as a fraction. The decimal number 0.25 has two decimal places, so the denominator is 100. The numerator is 25. 0.25 = 25/100 The fraction 25/100 reduces to 1/4.",probe
"Should Davis be confused, or is Tess correct? What is the difference between a sequence and a function?",probe
