book,para_num,paragraph,final_label,status,verification,tier,gemini_label,gemini_confidence,gemini_considered,gemini_reasoning,gpt_oss_or_label,gpt_oss_or_reasoning
ck12_algebra1_hs,7,"Many expressions have more than one variable in them. For example, the formula for the perimeter of a rectangle in the introduction has two variables: length (l) and width (w). In these cases, be careful to substitute the appropriate value in the appropriate place.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The text gives general advice to 'be careful to substitute the appropriate value', but does not describe or warn against a specific error or mistake that students commonly make.",COMMON_ERROR_ALERT,"The paragraph warns readers to be careful about substituting values, which is a warning about a common mistake."
ck12_algebra1_hs,30,"Example 5

Evaluate [3(x^2 − 1)^2 − x^4 + 12] + 5x^3 − 1 when x = −3.

Method 1: Substitute for the variable first. Then evaluate the numerical expression with the calculator.
Substitute the value x = −3 into the expression.
[3((−3)^2 − 1)^2 − (−3)^4 + 12] + 5(−3)^3 − 1
Input this in the calculator just as it is and press [ENTER]. (Note: use ∧ to enter exponents)
The answer is -13.

Method 2: Input the original expression in the calculator first and then evaluate.
First, store the value x = −3 in the calculator. Type -3 [STO] x (The letter x can be entered using the x− [VAR] button or [ALPHA] + [STO]). Then type the original expression in the calculator and press [ENTER].
The answer is -13.

The second method is better because you can easily evaluate the same expression for any value you want. For example, let’s evaluate the same expression using the values x = 2 and x = 2/3.

For x = 2, store the value of x in the calculator: 2 [STO] x. Press [2nd] [ENTER] twice to get the previous expression you typed in on the screen without having to enter it again. Press [ENTER] to evaluate the expression. The answer is 62.

For x = 2/3, store the value of x in the calculator: 2/3 [STO] x. Press [2nd] [ENTER] twice to get the expression on the screen without having to enter it again. Press [ENTER] to evaluate. The answer is 13.21, or 1070/81 in fraction form.

Note: On graphing calculators there is a difference between the minus sign and the negative sign. When we stored the value negative three, we needed to use the negative sign which is to the left of the [ENTER] button on the calculator. On the other hand, to perform the subtraction operation in the expression we used the minus sign. The minus sign is right above the plus sign on the right.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The paragraph demonstrates two valid calculator methods for evaluating an algebraic expression and provides an instructional note distinguishing the minus sign from the negative sign. There is no focus on student errors, conflicting student solutions, or explicit common mistake warnings.",COMMON_ERROR_ALERT,"The paragraph includes a cautionary note about confusing the minus sign with the negative sign on calculators, warning readers about a potential mistake."
ck12_algebra1_hs,180,"Plan and Compare Alternative Approaches to Solving Problems: In this section, we will compare the methods of “Making a Table” and “Looking for a Pattern” by using each method in turn to solve a problem.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMPARE_AND_CONTRAST,The text discusses comparing two valid problem-solving strategies rather than resolving conflicting student claims or identifying an error.,COMPARE_AND_CONTRAST,"The paragraph explicitly states it will compare two methods ('Making a Table' and 'Looking for a Pattern'), fitting the COMPARE_AND_CONTRAST pattern of presenting alternative approaches."
ck12_algebra1_hs,255,"Example 1: Multiply the following by negative one. a) 79.5 b) π c) (x+1) d) |x|. Solution: a) -79.5 b) −π c) −(x+1) or −x−1 d) −|x|. Note that in the last case the negative sign outside the absolute value symbol applies after the absolute value. Multiplying the argument of an absolute value equation (the term inside the absolute value symbol) does not change the absolute value. |x| is always positive. |−x| is always positive. −|x| is always negative. Whenever you are working with expressions, you can check your answers by substituting in numbers for the variables. For example, you could check part d of Example 1 by letting x = −3. Then you’d see that |−3| ≠ −|3|, because |−3| = 3 and −|3| = −3. Careful, though—plugging in numbers can tell you if your answer is wrong, but it won’t always tell you for sure if your answer is right!",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The text shows a worked example and standard conceptual explanation, along with general advice about checking work by substituting numbers. It does not highlight a specific common student misconception or error.",COMMON_ERROR_ALERT,"The paragraph warns about a typical misunderstanding with absolute values and cautions about checking answers, matching the signals for a common mistake alert."
ck12_algebra1_hs,265,"Example 9: Find the multiplicative inverse of each of the following. a) 3/7 b) 4/9 c) 3 1/2 d) −x/y e) 1/11. Solution: a) When we invert the fraction 3/7, we get 7/3. Notice that if we multiply 3/7 · 7/3, the 3’s and the 7’s both cancel out and we end up with 1/1, or just 1. b) Similarly, the inverse of 4/9 is 9/4; if we multiply those two fractions together, the 4’s and the 9’s cancel out and we’re left with 1. That’s why the rule “invert the fraction to find the multiplicative inverse” works: the numerator and the denominator always end up canceling out, leaving 1. c) To find the multiplicative inverse of 3 1/2 we first need to convert it to an improper fraction. Three wholes is six halves, so 3 1/2 = 6/2 + 1/2 = 7/2. That means the inverse is 2/7. d) Don’t let the negative sign confuse you. The multiplicative inverse of a negative number is also negative!",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,This is primarily a standard worked example demonstrating how to find multiplicative inverses. The remark 'Don’t let the negative sign confuse you' is a cautionary note rather than an explicit warning about a common mistake.,COMMON_ERROR_ALERT,"The paragraph includes a warning phrase ""Don’t let the negative sign confuse you"" which alerts the reader to a common mistake, fitting the COMMON_ERROR_ALERT category."
ck12_algebra1_hs,286,Note: When applying the Distributive Property you MUST take note of any negative signs!,NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The text provides an emphatic tip/caution regarding negative signs when using the distributive property, but does not explicitly mention an error, mistake, or common pitfall.",COMMON_ERROR_ALERT,The sentence warns readers to be careful about a frequent mistake (ignoring negative signs) when using the distributive property.
ck12_algebra1_hs,292,"Lesson Summary
• Distributive Property The product of an expression and a sum is equal to the sum of the products of the expression and each term in the sum. For expressions a,b, and c, a(b+c) = ab+ac.
• When applying the Distributive Property you MUST take note of any negative signs!",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The text provides a summary definition of the Distributive Property and adds an emphatic tip about negative signs, but it does not explicitly mention common mistakes or warn about specific student errors.",COMMON_ERROR_ALERT,"The paragraph warns students to watch for negative signs when using the distributive property, which is a warning about a common mistake."
ck12_algebra1_hs,467,"Does a percentage greater than 100 even make sense? Sure it does—percentages greater than 100 come up in real life all the time. For example, a business that made 10 million dollars last year and 13 million dollars this year would have made 130% as much money this year as it did last year.
The only situation where a percentage greater than 100 doesn’t make sense is when you’re talking about dividing up something that you only have a fixed amount of—for example, if you took a survey and found that 56% of the respondents gave one answer and 72% gave another answer (for a total of 128%), you’d know something went wrong with your math somewhere, because there’s no way you could have gotten answers from more than 100% of the people you surveyed.",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"This paragraph provides conceptual instruction explaining when percentages greater than 100% make sense and when they do not. While it describes an impossible survey scenario where 'something went wrong with your math', it does not explicitly warn about a common student error or ask the reader to find/correct a specific error.",COMMON_ERROR_ALERT,"The paragraph warns readers about a mistake (summing percentages over 100) and tells them to recognize that error, matching the COMMON_ERROR_ALERT pattern."
ck12_algebra1_hs,471,"Example 5
Convert 3.4 to a percent.
Solution
If you move the decimal point to the left, you get 0.034%. That’s a smaller number than you started out with, but you’re moving from decimals to percents, so you want the number to get bigger, not smaller. Move it to the right instead to get 340%.",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The example anticipates moving the decimal in the wrong direction to explain why moving it to the right is correct, but it does not explicitly frame this with standard error alert language (e.g., 'a common mistake is').",COMMON_ERROR_ALERT,"The paragraph warns about a typical mistake (moving the decimal point the wrong direction) and corrects it, matching a common error alert."
ck12_algebra1_hs,481,"Example 11
A furniture store places a 30% markup on everything it sells. It offers its employees a 20% discount from the sales price. The employees are demanding a 25% discount, saying that the store would still make a profit. The manager says that at a 25% discount from the sales price would cause the store to lose money. Who is right?
Solution
We’ll consider this problem two ways. First, let’s consider an item that the store buys from its supplier for a certain price, say $1000. The markup would be 30% of 1000, or $300, so the item would sell for $1300 and the store would make a $300 profit.
And what if an employee buys the product? With a discount of 20%, the employee would pay 80% of the $1300 retail price, or 0.8 × $1300 = $1040.
But with a 25% discount, the employee would pay 75% of the retail price, or 0.75 × $1300 = $975.
So with a 20% employee discount, the store still makes a $40 profit on the item they bought for $1000—but with a 25% employee discount, the store loses $25 on the item.
Now let’s use algebra to see how this works for an item of any price. If x is the price of an item, then the store’s markup is 30% of x, or 0.3x, and the retail price of the item is x + 0.3x, or 1.3x. An employee buying the item at a 20% discount would pay 0.8 × 1.3x = 1.04x, while an employee buying it at a 25% discount would pay 0.75 × 1.3x = 0.975x.
So the manager is right: a 20% employee discount still allows the store to make a profit, while a 25% employee discount would cause the store to lose money.
It may not seem to make sense that the store would lose money after applying a 30% markup and only a 25% discount. The reason it does work out that way is that the discount is bigger in absolute dollars after the markup is factored in. That is, an employee getting 25% off an item is getting 25% off the original price plus 25% off the 30% markup, and those two numbers together add up to more than 30% of the original price.",NA,UNCERTAIN,dual_arm,B_boundary,NA,low,COMPARE_AND_CONTRAST,"The example sets up a conflict between the employees' claim and the manager's claim asking 'Who is right?', which resembles compare-and-contrast pedagogy. However, it is framed as a standard contextual word problem/worked example rather than named students presenting contrasting mathematical solutions or methods.",COMPARE_AND_CONTRAST,"The paragraph presents two conflicting claims (employees vs manager) and asks the reader to determine who is correct, matching the compare-and-contrast pattern."
ck12_algebra1_hs,776,"Lesson Summary
• The answer to an inequality is usually an interval of values.
• Solving inequalities works just like solving an equation. To solve, we isolate the variable on one side of the equation.
• When multiplying or dividing both sides of an inequality by a negative number, you need to reverse the inequality.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"This text provides standard instructional summary notes and rules for solving inequalities, without referencing student mistakes or warning against common errors.",COMMON_ERROR_ALERT,"The bullet warns that a specific mistake (forgetting to reverse the inequality when multiplying/dividing by a negative) must be avoided, which matches a common error alert."
ck12_algebra1_hs,926,"Solving Linear Systems Using Subtraction of Equations

Another, very similar method for solving systems is subtraction. When the x− or y−coefficients in both equations are the same (including the sign) instead of being opposites, you can subtract one equation from the other.
If you look again at Example 3, you can see that the coefficient for x in both equations is +1. Instead of adding the two equations together to get rid of the y's, you could have subtracted to get rid of the x's:
(x+y)−(x−y) = 7−1.5 ⇒ 2y = 5.5 ⇒ y = 2.75
or...
x+y = 7
− (x−y) = −1.5
0x+2y = 5.5
So again we get y = 2.75, and we can plug that back in to determine x.
The method of subtraction is just as straightforward as addition, so long as you remember the following:
• Always put the equation you are subtracting in parentheses, and distribute the negative.
• Don’t forget to subtract the numbers on the right-hand side.
• Always remember that subtracting a negative is the same as adding a positive.",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The paragraph provides instructional explanation and procedural reminders ('Don't forget to...', 'Always remember...'). While these advise caution, they are instructional tips rather than explicit warnings about common student errors.",COMMON_ERROR_ALERT,"The paragraph includes warnings about specific mistakes (e.g., forgetting to subtract numbers, misplacing parentheses), which fits the COMMON_ERROR_ALERT category."
ck12_algebra1_hs,993,"Be careful when taking powers of negative numbers. Remember these rules:
(negative number) · (positive number) = negative number
(negative number) · (negative number) = positive number

So even powers of negative numbers are always positive. Since there are an even number of factors, we pair up the negative numbers and all the negatives cancel out.
(−2)^6 = (−2)(−2)(−2)(−2)(−2)(−2) = (−2)(−2) · (−2)(−2) · (−2)(−2) = +64

And odd powers of negative numbers are always negative. Since there are an odd number of factors, we can still pair up negative numbers to get positive numbers, but there will always be one negative factor left over, so the answer is negative:
(−2)^5 = (−2)(−2)(−2)(−2)(−2) = (−2)(−2) · (−2)(−2) · (−2) = −32",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The text advises students to 'be careful when taking powers of negative numbers' and reviews the sign rules, but it does not explicitly describe a common mistake or error.",COMMON_ERROR_ALERT,"The paragraph warns students about a frequent mistake when handling powers of negative numbers, using language like 'Be careful' and explaining the correct rules."
ck12_algebra1_hs,1119,"Note: An easy way to check your work after adding or subtracting polynomials is to substitute a convenient value in for the variable, and check that your answer and the problem both give the same value. For example, in part (b) above, if we let a = 2 and b = 3, then we can check as follows: Given: (4a^2 − 8ab − 9b^2) − (5b^2 − 2a^2) = (4(2)^2 − 8(2)(3) − 9(3)^2) − (5(3)^2 − 2(2)^2) = (4(4) − 8(2)(3) − 9(9)) − (5(9) − 2(4)) = (−113) − 37 = −150. Solution: 6a^2 − 14b^2 − 8ab = 6(2)^2 − 14(3)^2 − 8(2)(3) = 6(4) − 14(9) − 8(2)(3) = 24 − 126 − 48 = −150. Since both expressions evaluate to the same number when we substitute in arbitrary values for the variables, we can be reasonably sure that our answer is correct. Note: When you use this method, do not choose 0 or 1 for checking since these can lead to common problems.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The paragraph explains a general strategy for checking work by plugging in numbers. Although it advises not to choose 0 or 1, this functions as a checking tip rather than warning against a specific common math error.",COMMON_ERROR_ALERT,"The paragraph warns readers not to choose 0 or 1 when checking because it can cause common problems, which matches a common mistake alert."
ck12_algebra1_hs,1223,"Now we can see the familiar parabolic shape. And now we can see the drawback to graphing quadratics by making a table of values—if we don’t pick the right values, we won’t get to see the important parts of the graph.

In the next couple of lessons, we’ll find out how to graph quadratic equations more efficiently—but first we need to learn more about the properties of parabolas.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,The text discusses the limitation of using a table of values to graph quadratics rather than warning about a specific student error or misconception.,COMMON_ERROR_ALERT,"The paragraph warns about a potential mistake (choosing wrong table values) that can hinder graphing, which fits the COMMON_ERROR_ALERT pattern of alerting to a common error."
ck12_algebra1_hs,1437,"We must be careful when we use this method, because whenever we raise an equation to a power, we could introduce false solutions that are not in fact solutions to the original problem. These are called extraneous solutions. In order to make sure we get the correct solutions, we must always check all solutions in the original radical equation.",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The text explains the mathematical phenomenon of extraneous solutions and advises checking answers, rather than highlighting a specific common mistake made by students.",COMMON_ERROR_ALERT,"The paragraph warns readers about a common mistake (extraneous solutions) and advises checking solutions, matching a COMMON_ERROR_ALERT."
ck12_algebra1_hs,1444,"Identify Extraneous Solutions to Radical Equations
We saw in Example 3 that some of the solutions that we find by solving radical equations do not check out when we substitute (or “plug in”) those solutions back into the original radical equation. These are called extraneous solutions. It is very important to check the answers we obtain by plugging them back into the original equation, so we can tell which of them are real solutions.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The text explains the mathematical concept of extraneous solutions and advises checking solutions, but does not explicitly warn about a student mistake or use common error alert phrasing.",COMMON_ERROR_ALERT,"The paragraph warns students about a frequent mistake (extraneous solutions) and advises checking work, matching the COMMON_ERROR_ALERT pattern."
ck12_algebra1_hs,1537,"Graph Rational Functions

Now we'll extend the domain and range of rational equations to include negative values of x and y. First we'll plot a few rational functions by using a table of values, and then we'll talk about the distinguishing characteristics of rational functions that can help us make better graphs.

As we graph rational functions, we need to always pay attention to values of x that will cause us to divide by 0. Remember that dividing by 0 doesn't give us an actual number as a result.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The text provides standard introductory instruction and reminders about domain restrictions when graphing rational functions, rather than explicitly warning about a common student error.",COMMON_ERROR_ALERT,"The paragraph warns readers about the mistake of dividing by zero when graphing rational functions, which matches the COMMON_ERROR_ALERT pattern."
ck12_algebra1_hs,1690,"Counting Combinations
Just as with permutations, it’s sometimes easiest to calculate combinations by listing all the possibilities available, and counting them. The only difference is, when we list one combination, we automatically exclude a larger number of permutations. For example a poker hand that is (ace, ace, ace, ace, king♣) is identical to (ace, ace, ace, king♣, ace), (ace, ace, king♣, ace, ace), (ace, king♣, ace, ace, ace) and (king♣, ace, ace, ace, ace). So we must be careful to use a listing method that includes all combinations without repeating ones that are really the same. Let’s examine a situation where it’s relatively straightforward to do that.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"This text provides standard instructional explanation distinguishing combinations from permutations. Although it advises being careful not to repeat combinations, it does not explicitly warn about a common student error or showcase incorrect work.",COMMON_ERROR_ALERT,"The paragraph warns the reader to avoid double‑counting combinations, a typical mistake, without asking to find or fix a specific error."
ck12_algebra1_hs,1735,"Example 9
James and John both own fields in which they plant cabbages. James plants cabbages by hand, while John uses a machine to carefully control the distance between the cabbages. The diameters of each grower’s cabbages are measured. James’s cabbages have an average (mean) diameter of 7.10 inches with a standard deviation of 2.75 inches; John’s have a mean diameter of 6.85 inches with a standard deviation of 0.60 inches.
John claims his method of machine planting is better. James insists it is better to plant by hand. Use the data to provide a reason to justify both sides of the argument.
Solution
• James’s cabbages have a larger mean diameter, so on average they are larger than John’s. The larger standard deviation also means that there will be a number of cabbages which are significantly bigger than most of John’s.
• John’s cabbages are smaller on average, but only by a little bit (one quarter inch). Meanwhile, the smaller standard deviation means that the sizes of his cabbages are much more predictable. The spread of sizes is much less, so they all end up being closer to the mean. While he may not have many extra large cabbages, he will not have any that are excessively small either, which may be better for any stores to which he sells his cabbages.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMPARE_AND_CONTRAST,This is a standard worked example applying statistics (mean and standard deviation) to a real-world scenario where two farmers defend different planting methods. It is not an error-focused task comparing student mathematical approaches or errors.,COMPARE_AND_CONTRAST,"The paragraph presents two named individuals with opposing claims about which planting method is better and asks to justify both sides, matching the compare-and-contrast pattern."
ck12_algebra1_hs,1748,"Make and Interpret Histograms
Look again at the example of the algebra students and their siblings. The data was collected in the following list.
1, 4, 2, 1, 0, 2, 1, 0, 1, 2, 1, 0, 0, 2, 2, 3, 1, 1, 3, 6
We were able to organize the data into a table. Here is the table again, but this time we will use the word frequency as a header to indicate the number of times each value occurs in the list.
TABLE 13.11:
Number of siblings / Frequency: 0: 4, 1: 7, 2: 5, 3: 2, 4: 1, 5: 0, 6: 1
Now we could use this table as an (x, y) coordinate list to plot a line diagram like this one:
While this diagram does indeed show the data, it is somewhat misleading. For example, the continuous line joining the number of students with one and two siblings makes it look like we know something about how many students have 1.5 siblings (which of course, is impossible). In this case, where the data points are all integers, it’s wrong to suggest that the function is continuous between the points!
When the data we are representing falls into well defined categories (such as the integers 1, 2, 3, 4, 5 & 6) it is more appropriate to use a histogram to display that data. A histogram for this data is shown below.",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The text explains why a line graph is misleading for discrete data to motivate using histograms, rather than highlighting a student error or issuing a common error alert.",COMMON_ERROR_ALERT,"The paragraph warns that using a line diagram for categorical integer data is misleading, alerting readers to a common mistake."
ck12_algebra1_hs,1790,"Identify Biased Questions When you are creating a survey, you must think very carefully about the questions you should ask, how many questions are appropriate and even the order in which the questions should be asked. A biased question is a question that is worded in such a way (whether intentional or not) that it causes a swing in the way people answer it. Biased questions can lead even a representative, non-biased population sample to answer in a way that does not accurately reflect the larger population. While biased questions are a bad way to judge the overall mood of a population, they are sometimes used by politicians or advertising companies to falsely suggest that a product or policy is more or less popular than it really is. There are several ways to spot biased questions: • They may use polarizing language, words and phrases that people associate with emotions: – Is it right that farmers murder animals to feed people? – How much of your time do you waste on TV every week? – Should we be able to remove a person’s freedom of choice over cigarette smoking? • They may refer to a majority or to a supposed authority: – Would you agree with the American Heart and Lung Association that smoking is bad for your health? – The president believes that criminals should serve longer prison sentences. Do you agree? – Do you agree with 90% of the public that the car on the right looks better? • The question may be phrased so as to suggest the person asking the question already knows the answer: – It’s OK to smoke so long as you do it on your own, right? – You shouldn’t be forced to give your money to the government, should you? – You wouldn’t want criminals free to roam the streets, would you? • The question may be phrased in ambiguous way (often with double negatives) which may confuse people: – Do you reject the possibility that the moon landings never took place? – Do you disagree with people who oppose the ban on smoking in public places?",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"This text provides instructional content defining biased questions and giving examples of how they are constructed, rather than highlighting student errors or error-focused pedagogy.",COMMON_ERROR_ALERT,"The paragraph warns readers about a common mistake—creating biased survey questions—and lists ways to spot them, matching the COMMON_ERROR_ALERT pattern."
