final_label,confidence,paragraph,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning,notes
COMPARE_AND_CONTRAST,CONFIRMED,"On their Team Test, Raymond, Sarah, Hannah, and Aidan were given y=4x* —24x+7 to change into graphing form. Raymond noticed that the leading coefficient was a 4 and not a 1. His team agreed on a way to start rewriting, but then they worked in pairs and got two different solutions, shown below.",COMPARE_AND_CONTRAST,"The paragraph describes two different solutions from pairs of students (Raymond/Sarah and Hannah/Aidan) working on the same problem, setting up a scenario for comparing approaches. It does not explicitly mention an error or ask to find one, but rather presents differing results.",COMPARE_AND_CONTRAST,"The paragraph mentions several named students who worked in pairs and produced two different solutions, indicating a compare-and-contrast of approaches.",
COMPARE_AND_CONTRAST,CONFIRMED,"Should Davis be confused, or is Tess correct? What is the difference between a sequence and a function?",COMPARE_AND_CONTRAST,"The paragraph presents two named students, Davis and Tess, with differing viewpoints or understandings, prompting the reader to compare their perspectives. This fits the 'COMPARE_AND_CONTRAST' category as it involves examining conflicting approaches or answers.",COMPARE_AND_CONTRAST,"The paragraph mentions two named students (Davis and Tess) with potentially conflicting views and asks who is correct, fitting the compare-and-contrast pattern.",
COMPARE_AND_CONTRAST,CONFIRMED,"Farah and Thu were working on writing the equation of a sine function for the graph at right. They figured out that the amplitude is 3, the horizontal shift is 4 and the midline is y=-2. They can see that the period is z , but they disagree on the equation. Farah has written f(x) = 3sin 2(x—74)—2 and Thu has written f(x) = 3sin(2x—-4)-2.",COMPARE_AND_CONTRAST,"The paragraph presents two students, Farah and Thu, who have different equations for a sine function. The reader is implied to examine their work to determine who is correct, which fits the 'COMPARE_AND_CONTRAST' category as it involves contrasting different approaches/answers.",COMPARE_AND_CONTRAST,"The paragraph presents two named students (Farah and Thu) who have different equations and invites the reader to examine their work and resolve the disagreement, which matches the compare-and-contrast pattern.",
COMPARE_AND_CONTRAST,CONFIRMED,"Colleen and Jolleen both used their calculators to find sin 30° . Colleen got sin30°= -0.9880316241 , but Jolleen got sin 30°=0:5.",COMPARE_AND_CONTRAST,"The paragraph presents two students, Colleen and Jolleen, who obtained conflicting results for sin 30°. This setup invites comparison of their answers to determine correctness, aligning with the 'COMPARE_AND_CONTRAST' category.",COMPARE_AND_CONTRAST,"The paragraph presents two named students, Colleen and Jolleen, who obtained different results for the same calculation, indicating a disagreement that invites comparison of their answers.",
COMPARE_AND_CONTRAST,CONFIRMED,"When they arrived at school the next morning, they compared the equations they had put in their graphing calculators while they talked on the phone. One had y =sin2x—1, while the other had y=sin2(x-1). Which equation was correct? Did they both subtract 1 from x? Describe the rule for shifting a graph one unit to the right in a way that avoids this confusion.",COMPARE_AND_CONTRAST,"The paragraph presents two different equations from two students and asks which is correct, prompting a comparison of their approaches. This fits the 'COMPARE_AND_CONTRAST' category as it involves evaluating conflicting methods.",COMPARE_AND_CONTRAST,"The paragraph presents two students' differing equations and asks which is correct, prompting comparison of their approaches.",
COMPARE_AND_CONTRAST,CONFIRMED,"b. Hugo says, “No, no, no. You can do it that way, but that’s too complicated. I think you just start with x = 3 +4i and work backward. So x —3=4i, then, hmmm... Whose method do you think Spud should use?",COMPARE_AND_CONTRAST,"The paragraph presents two named students, Hugo and Spud, discussing different methods. It asks the reader to evaluate whose method Spud should use, indicating a comparison of approaches.",COMPARE_AND_CONTRAST,"The paragraph presents Hugo’s method and asks which method Spud should use, implying a comparison between multiple students’ approaches, fitting the COMPARE_AND_CONTRAST category.",
COMPARE_AND_CONTRAST,CONFIRMED,"a. Make a histogram of the data on your calculator and sketch it. Use a bin width of 5. b. Lateefa is modeling the data using a normal distribution, but her partner Farid thinks that it is not a good idea. What advice would you give them about using a normal distribution? c. Lateefa scored 86 on the test, and Farid scored 92. What percentile did each score in? What score is at the 25"" percentile? Find the five number summary (minimum, first quartile, median, third quartile, maximum) for this data. How does your answer compare to",COMPARE_AND_CONTRAST,"The paragraph presents a scenario where two students, Lateefa and Farid, have conflicting opinions about using a normal distribution. This fits the 'COMPARE_AND_CONTRAST' category as it involves examining different approaches/answers. Other parts of the question (histogram creation, percentile calculations) are standard tasks without error-focused elements.",COMPARE_AND_CONTRAST,"The paragraph presents two named students (Lateefa and Farid) with differing views on using a normal distribution, prompting the reader to consider and advise on their disagreement.",
COMPARE_AND_CONTRAST,CONFIRMED,"Angela continued to think about Uncle Zachary’s savings. a. Angela wrote the equation for the sequence as t(n)=47+3n. But Uncle Zachary wrote t(n)=50+3(n—1). Which equation gives the correct sequence? What is the advantage of writing the equation like Angela did? What is the advantage of writing it like Uncle Zachary did? Determine the amount of money in Angela’s college fund at the time of her first birthday, after her Uncle had made exactly 12 deposits. How much was saved by Angela’s 5"" birthday? Can you think of ways you might be able to figure this out without having to add the money for every month? Be ready to share your ideas with the class.",COMPARE_AND_CONTRAST,"The paragraph presents two different equations written by Angela and Uncle Zachary, asking which is correct and comparing their advantages. This fits the COMPARE_AND_CONTRAST category as it involves evaluating conflicting approaches from named individuals.",COMPARE_AND_CONTRAST,"The paragraph presents two different equations from named individuals (Angela and Uncle Zachary) and asks the reader to compare them and decide which is correct, fitting the compare-and-contrast pattern.",
COMPARE_AND_CONTRAST,CONFIRMED,"b. What are the advantages of writing the equation like Katelyn did? What are the advantages of writing the equation like Janelle did? c. Rewrite the equation t(n)=18-3"" using Katelyn’s method.",COMPARE_AND_CONTRAST,"The paragraph asks to compare the advantages of two different methods used by Katelyn and Janelle, which fits the COMPARE_AND_CONTRAST category as it involves contrasting approaches from named students.",COMPARE_AND_CONTRAST,"The paragraph mentions two named students (Katelyn and Janelle) using different methods and asks the reader to discuss the advantages of each, which is a compare‑and‑contrast prompt.",
COMPARE_AND_CONTRAST,CONFIRMED,"With Scott’s plan, how much will his dad have to pay him for the 100"" piece of litter he finds? If Scott collects 150 pieces of litter, how much will he have earned in total? What if he picks up 200 pieces? Greg thinks Scott is crazy to propose an increase of just 2% per piece. After all 2% of 10 cents is just ae of acent! Instead, he plans to ask for a one-cent increase for every piece. If their father agrees to this, how much would Greg get paid for the 100"" piece he collects? If the boys each collect 150 pieces of litter, which payment scheme will earn them the most money?",COMPARE_AND_CONTRAST,"The paragraph presents two different payment plans proposed by Scott and Greg, asking the reader to compare the outcomes of each. It fits the 'COMPARE_AND_CONTRAST' category as it involves evaluating two distinct approaches to determine which earns more money.",COMPARE_AND_CONTRAST,"The paragraph presents two different payment schemes proposed by Scott and Greg and asks the reader to determine which scheme earns more, a classic compare‑and‑contrast scenario with named characters.",
COMPARE_AND_CONTRAST,CONFIRMED,"Robin and Teryll each have $8,000 to invest and they disagree about the best place to start a savings account. Teryll found a savings and loan company that will guarantee a rate of 3.9% compounded monthly for the next 10 years. Robin says her bank is much better because they will give her 4% interest compounded semi-annually for the next ten years. In ten years, which account will end up with the greatest amount and how much difference is there?",COMPARE_AND_CONTRAST,"The paragraph presents two different investment strategies by Robin and Teryll, asking the reader to compare their outcomes. It focuses on evaluating which method yields a better result, not on identifying errors or common mistakes.",COMPARE_AND_CONTRAST,"The paragraph presents two named students (Robin and Teryll) with differing conclusions about which savings account is better and asks the reader to determine which is greater, fitting the compare‑and‑contrast pattern.",
COMPARE_AND_CONTRAST,CONFIRMED,"Salina, Tamara, and Uma are working on their homework together. Salina tells her friends that she got 6 = 52° for the inverse cosine problem she is working on and asks if they got the same answer. Tamara says she got 6 =128°, and Uma volunteers her answer of 6 = 308°. Is it possible that these are all solutions to the same problem?",COMPARE_AND_CONTRAST,The paragraph presents three students with different answers to the same problem and asks if they could all be correct. This fits the COMPARE_AND_CONTRAST category as it involves examining conflicting student responses.,COMPARE_AND_CONTRAST,"The paragraph presents three named students giving different answers and asks whether they can all be correct, which is a compare-and-contrast of student solutions.",
COMPARE_AND_CONTRAST,CONFIRMED,"Frank says that -4; = “+, while Fred does not think that the Ds eat two expressions are equivalent.",COMPARE_AND_CONTRAST,"The paragraph presents two named students, Frank and Fred, who disagree on whether two expressions are equivalent. This fits the 'COMPARE_AND_CONTRAST' category as it highlights differing approaches or answers between named individuals.",COMPARE_AND_CONTRAST,"The paragraph mentions two named students, Frank and Fred, who disagree about whether two expressions are equivalent, fitting the compare-and-contrast pattern.",
COMPARE_AND_CONTRAST,HAND_CLASSIFIED,"[text starts with: ""Yeah, I think you're wrong, Marta,"" said Sophia]",,,,,Hand-classified: Sophia and Marta disagree about whether log₂x and log(2ˣ) are different; reader adjudicates.
COMPARE_AND_CONTRAST,HAND_CLASSIFIED,"Eniki has a sequence of numbers given by the formula t(n) a. What are the first three terms of Eniki’s sequence? b. Chelita thinks the number 312,500 is a term in Eniki’s sequence. Justify your answer by either giving the term number or explaining why it is not in the sequence. c. Elisa thinks the number 94,500 is a term in Eniki’s sequence.",COMPARE_AND_CONTRAST,"The paragraph presents two named students, Chelita and Elisa, who have different thoughts about whether specific numbers are in Eniki’s sequence. The task is to determine who is correct by analyzing the sequence, which involves comparing their claims. This fits the COMPARE_AND_CONTRAST category as it focuses on contrasting different student answers.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",Hand-classified: Chelita and Elisa disagree about whether numbers are in Eniki's sequence; reader adjudicates.
COMPARE_AND_CONTRAST,HAND_CLASSIFIED,a. Whose equation is correct? How can you be sure? b. Graph the incorrect equation and explain how it is different from the original graph.,COMPARE_AND_CONTRAST,"The paragraph asks the reader to determine whose equation is correct and then graph the incorrect one, indicating a comparison between different student approaches or answers. This aligns with the COMPARE_AND_CONTRAST category as it involves evaluating conflicting solutions.",NA,"The paragraph asks to determine which equation is correct and to graph the incorrect one, but it does not name students, does not explicitly state an error to locate, nor warn about a common mistake.",Hand-classified: Two competing equations shown; reader determines which is correct and graphs the incorrect one.
COMPARE_AND_CONTRAST,HAND_CLASSIFIED,"Raul claims that he has a shortcut for deciding what kind of roots a function has. Jolene thinks that a shortcut is not possible. She says you just have to solve the quadratic equation to find out. They are working on y= Jolene says, “See, I just start out by trying to factor. This one can be factored (x-— 7)(x+2)=0, so the equation will have two real solutions and the function will have two real roots.” “But what if it can’t be factored?” “What about x? +2x+2=0?” I just use the Quadratic Formula,” says Jolene. let’s see... negative two plus or minus the square root of... two squared... that’s 4...minus... eight...” “Right there, see, you don’t have to finish. 27 minus 4-2, that gives you —4. That’s all you need to know. You’ll be taking the square root of a negative number so you will get a complex result.” “Oh, I see,” said Jolene. “TI only have to consider part of the solution, the inside of the square root.” Use Raul’s method to tell whether each of the following functions has real or complex roots without completely solving the equation. Note: Raul’s method is also summarized in the Math Notes box for this lesson.",COMPARE_AND_CONTRAST,"The paragraph presents two students, Raul and Jolene, with differing approaches to determining the roots of a quadratic equation. Raul advocates for a shortcut (likely the discriminant method), while Jolene initially relies on factoring and the quadratic formula. The text asks readers to apply Raul’s method, contrasting their strategies. This fits the COMPARE_AND_CONTRAST category as it highlights differing methods and invites analysis of their validity.",NA,"The paragraph presents a dialogue about different methods but does not ask students to find or correct an error, warn about common mistakes, or explicitly compare approaches for correctness; it simply instructs using Raul's method, so it is standard content.",Hand-classified: Raul and Jolene disagree on whether a shortcut for roots is valid; reader evaluates.
