book,para_num,paragraph,final_label,status,verification,tier,gemini_label,gemini_confidence,gemini_considered,gemini_reasoning,gpt_oss_or_label,gpt_oss_or_reasoning
cpm_course2_ms,90,"2-13. Complete a Portions Web for each number. An example for 2 _ is shown. a. 7 __ b. 0.75 c. three-fifths d. 5 _ e. With your team, explain how you rewrote 0.75 as a fraction in part (b). Is there more than one way? Be as specific as possible. 2-14. Since 0.7 is described in words as “seven-tenths,” it is not a surprise that the equivalent fraction is 7 __ . Obtain a set of decimal cards from your teacher or use the list given to complete the following tasks: • Use the names of fractions (like “twenty-three hundredths”) to rewrite each terminating decimal as a fraction. First try to use what you know about place value to write the fraction. • With your calculator, check to be sure the fraction is equal to the decimal. a. 0.19 b. 0.391 c. 0.001 d. 0.019 e. 0.3 f. 0.524 2-15. Jerome works at the Fraction Factory in the department that changes decimals into fractions. He has just received an order to rewrite 0. ¯ 73 as a fraction. He started to rewrite it as 73 ___ , but he is not sure that he is correct. Is 73 ___ equal to 0. ¯ 73? Be ready to justify your answer. TWO-THIRDS 0.¯6 2_ 66 2_ 3%",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,INCORRECT_TO_CORRECT,"While problem 2-15 features a character (Jerome) with an incorrect proposed solution (73/100 for 0.73 repeating), it asks students to determine if the values are equal and justify their answer rather than explicitly instructing them to find and fix an error.",INCORRECT_TO_CORRECT,"The paragraph presents a named student (Jerome) who has produced a candidate fraction for a repeating decimal and asks the reader to determine if his work is correct, effectively prompting error detection and correction."
cpm_course2_ms,124,"2-90. While working in class, Stephanie had to do the problem 3 _ · 6 _ . She started to draw rectangles to solve the problem. Stephanie looked over at Audrey’s work and saw that Audrey was way ahead of her. “How did you get so far ahead of me? Why aren’t you drawing rectangles for these problems?” Stephanie asked. “I remembered a shortcut,” Audrey said. “Didn’t you notice that when we drew the rectangles, we got the same thing as if we had multiplied the numerators and then multiplied the denominators? I just did 3 · 6 = 18 and 5 · 7 = 35 and got 18 __ . It was a lot faster. So when I saw these problems, I decided I wasn’t going to draw the rectangles with all those little pieces.” a. Check Audrey’s method using a rectangle model. b. What part of the rectangle model is represented by multiplying 5 · 7? c. What part of the rectangle model is represented by multiplying 3 · 6? 2-91. Multiply the following pairs of fractions using rectangles or Audrey’s method. a. 7 _ · 5 _ b. 2 __ · 4 _ c. 6 _ · 6 _ d. 4 _ · 3 _ e. 6 __ · 1 _ f. 8 _ · 9 __ 2-92. Ronna is making a small flowerbed that is 1 1 _ feet by 3 1 _ feet. She needs to calculate the area so she can add the correct amount of fertilizer to the soil. Draw the rectangle shown, then complete parts (a) through (c). a. Write the area in each of the four parts of the drawing. Then determine the total area. b. Write an equation that represents the sum of the four areas. c. What multiplication problem could you use to solve this problem? 2-93. Using the process shown in the previous problem, determine the area of Ronna’s flower bed if the dimensions are 1 1 _ feet by 5 1 _ feet. Clearly label all dimensions. Write the multiplication problem that can be used to solve this problem. + 1_ + 1_",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMPARE_AND_CONTRAST,"The text presents Audrey demonstrating a valid shortcut (standard fraction multiplication) compared to Stephanie's drawing method, with no errors or disagreements present.",COMPARE_AND_CONTRAST,"The paragraph presents two different methods (rectangle model vs Audrey's shortcut) and asks the reader to check the shortcut using the rectangle model, which is a compare-and-contrast of approaches."
cpm_course2_ms,125,"2-94. CHANGE CAN BE GOOD As Jonique was working in class, she had to do the problem 2 1 _ · 3 1 _ . She did not want to draw rectangles. However, she thinks that she has figured out a shortcut for multiplying mixed numbers. “I know how to change mixed numbers into fractions. That will make the problem much easier,” she said. Look at Jonique’s work shown. Try Jonique’s shortcut on the following problems. Show each step. a. 3 1 _ · 1 1 _ b. 1 1 _ · 2 1 _ c. 1 1 _ · 3 1 _ d. Compare part (a) with the area model method in problem 2-92. Which method do you prefer? Why? 2-95. To add or multiply two quantities, you may need to convert not only the numbers to some other form (like fractions to decimals), but also the quantities they represent. For example, to add 1 _ feet to 3 inches, you need to first convert one of them to be the same unit as the other, so that they are both feet or both inches. You could change 1 _ feet to 6 inches and then add it to 3 inches to get 9 inches. Alternatively, you could change 3 inches to 1 _ feet and then add it to 1 _ feet to get 3 _ feet. Complete the specified operations for the following quantities, making sure that you are working with like parts, that is, the same units of measurement. Each answer can be expressed with one number, although there are multiple ways to represent each one. Be sure you label your answer. a. 2 1 _ feet + 8 inches b. 3 _ of a day + 1 _ of a day + 6 hours c. 12.5 meters + 14 kilometers d. Cecil performs a routine three times that consists of a 5-foot leap and a 3-yard skip. That is, 3(5 feet + 3 yards). 2 1_ 2 · 3 1_ 5_ 2 · 13_ 65_ 8 1_ = = =",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMPARE_AND_CONTRAST,Jonique presents a valid shortcut (converting mixed numbers to improper fractions) and students are asked to practice it and compare it to the area model. There are no errors shown or analyzed.,COMPARE_AND_CONTRAST,"The paragraph asks the reader to compare Jonique's shortcut method with the area model method, presenting two different approaches, which fits the compare-and-contrast category."
cpm_course2_ms,153,"3-1. Katrina wrote the following set of instructions for Cecil: 4 · 2.5 + 1. a. If Cecil the acrobat follows Katrina’s instructions, how far will he go? Draw a diagram of Cecil’s movements and show how far he will move. b. Katrina drew the diagram shown. How was she thinking about Cecil’s moves? Write an expression to represent Katrina’s diagram. c. Explain why Katrina’s diagram in part (b) will not give her the correct length for 4 ⋅ 2.5 + 1. d. Cecil changed Katrina’s set of instructions so that the length of 1 foot came first, as shown in the diagram. Write an expression to represent this new diagram. How far does Cecil move here? Does this give the same length as 4 · 2.5 + 1? 3-2. Cecil’s trainers proposed each of the following movements. Which one requires the longest rope? Draw diagrams to justify your answer. MOVEMENT 1 MOVEMENT 2 MOVEMENT 3 8 + 2(6.48) feet 2 + 8(6.48) feet (8 + 2)6.48 feet 3-3. The expression 5 + 3 · 4 + 2 can be used to represent the group of “+” tiles shown. a. How does each part of the expression connect with the groups of “+” tiles? How many tiles are there? b. Each group of “+” tiles is represented by a different part of the expression, also called a numerical term. Numerical terms are single numbers or products of numbers. It is often useful to circle terms in an expression to keep track of separate calculations. For example, each term circled in the expression shown represents a separate part of the collection of “+” tiles. Circle the terms in the following expression. What does each term describe about collections of “+” or “−” tiles? 4 · 5 + 1 + 3(−2) + 6 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 + + + + + + + + + + + + + + + + + + + 5 + 3 · 4 + 2",INCORRECT_TO_CORRECT,UNCERTAIN,dual_arm,A_positive,INCORRECT_TO_CORRECT,high,EXPLICIT_ERROR_DETECTION,"In problem 3-1, Katrina's incorrect diagram representing 4 · 2.5 + 1 is analyzed, and the student is explicitly asked to explain why her diagram will not give the correct length, matching INCORRECT_TO_CORRECT.",EXPLICIT_ERROR_DETECTION,"The paragraph includes a prompt that states Katrina’s diagram will not give the correct length and asks the reader to explain why, which is an explicit request to identify and discuss an error."
cpm_course2_ms,169,"3-35. Subtraction can also be represented on the number line model. a. Sketch the number line. b. How can you represent 2 − 7 using the number line? Discuss your ideas with your team and use the number line to represent your answer. c. How can you represent 1 − (−2) using the number line? Again, discuss your ideas with your team and use the number line to represent your answer. 3-36. Absolute value can be thought of as the distance between a number and zero, and it can also be used to determine the distance between two non-zero numbers. Use your number line model from problem 3-35 to answer the following questions. a. Place points at 7.6 and 2.4 on your number line. What is the distance between 7.6 and 2.4? Explain your reasoning. b. Use the number line to determine the distance between −6.72 and 4.13. How can absolute value help you determine the distance? 3-37. The Deep Submergence Vehicle, Alvin, can dive into the ocean to a maximum depth of 14,764 ft. If sea level is 0 ft, then this depth can be written as −14,764 ft. The deepest point in the Pacific Ocean, and in fact in the whole world, is a location called Challenger Deep in the Mariana Trench. It has a depth of −35,840 ft. Tory and Nina wanted to know the distance from the bottom of the trench to Alvin when the submarine was at its maximum dive depth. a. Sketch a vertical number line and label the depths described to help you to visualize the problem. b. Tory knew that they needed to subtract to determine the difference between the two depths, so she calculated −35,840 − (−14,764). Nina, on the other hand, calculated −14,764 − (−35,840). Complete both calculations. Use your number line or visualize integer tiles to help you. What do you notice about the solutions? c. If you want to calculate the distance between the two depths, how could you use absolute value in Nina and Tory’s expressions to show that distance is always a positive value? Write both expressions to show this. −8 −7 −6 −5 −4 −3 −2 −1",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMPARE_AND_CONTRAST,"Tory and Nina set up the subtraction in opposite orders to explore how absolute value relates to distance, rather than one of them making an error or having a conflict over who is correct.",COMPARE_AND_CONTRAST,"The paragraph presents two named students (Tory and Nina) who use different subtraction orders, asking the reader to complete both calculations and observe the results, which matches the compare-and-contrast pattern."
cpm_course2_ms,182,"3-71. While in the sporting goods store, Howard found some new running shoes advertised to weigh only 70% as much as his old running shoes. His old shoes weighed 0.8 kg. Use the problems to determine how much these new shoes weigh. a. Use a hundredths grid to determine 70% of 0.8 kg. b. Write a fraction equation for this problem. Label the answer with the correct units. c. Write a decimal equation for this problem. Label the answer with the correct units. d. Do the new shoes weigh more or less than the old shoes? How much more or less? 3-72. Another way to think about decimal multiplication is with an area model. a. What multiplication problem is represented by the area model shown? Copy this rectangle and write the multiplication problem it represents. b. Fill in the areas of each of the four sections. What math problem does each smaller section represent? c. Write the total area as both a sum and a product. Does your answer make sense? 3-73. Judy is working on problem 3-72 and is trying to make sense of the standard algorithm for decimal multiplication. Her work so far is shown. “Wait a minute,” Judy said, “I multiplied 2.3 by 0.4 and then by 1. How in the world could those products be 92 and 230? That just doesn’t make sense.” a. The decimal points are usually left out of a multiplication problem until the last step. You can see that Judy left them out in her work. If the decimal points were to be put in, where would they go in each line of her work? That is, is 2.3 times 0.4 equal to 92, 9.2, or 0.92? In the next line, is 2.3 times 1.0 equal to 230, 23.0, or 2.30? b. Copy Judy’s work and place the decimal points in the correct locations. Then complete the work. What is 2.3 times 1.4? 0.3 0.4 + + 2.3 1.4 ×",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,INCORRECT_TO_CORRECT,"Problem 3-73 features a named student (Judy) questioning intermediate steps of the standard algorithm, but her work is not strictly incorrect—it is a guided exploration of how place value works in the algorithm rather than identifying and correcting an error.",INCORRECT_TO_CORRECT,"The paragraph presents Judy's incorrect multiplication work and asks the reader to locate the mistake and correct the placement of decimal points, which fits the INCORRECT_TO_CORRECT pattern."
cpm_course2_ms,183,"3-74. When multiplying decimals, how do you know where to place the decimal point? Think about this as you do parts (a) through (d). a. Write two equations for multiplying 0.3 by 0.16. One equation should express the factors and product using decimals, and one using fractions. b. In part (a), you multiplied tenths by hundredths to get thousandths. Do you always get thousandths if you multiply tenths by hundredths? Why or why not? What do you get if you multiply tenths by tenths? Hundredths by hundredths? Use several examples to justify your answers. c. When a multiplication problem is written using decimals, there is a relationship between the number of decimal places in the parts (or factors) of the problem and the number of decimal places in the answer (or product). Describe this relationship. d. Describe a shortcut for locating the decimal point in the answer to a problem involving decimal multiplication. 3-75. For each of the following problems, use a hundredths grid if needed. Write both a fraction and a decimal equation with your answer. a. (0.3)(0.6) b. (0.5)(−0.4) c. (−0.2) · (−0.7) 3-76. Jerry’s teacher gave him the problem (−2.4)(5.3). He decided to use an area model to determine the answer. He used the area model shown and determined that (−2.4)(5.3) = −8.48. Jerry’s teammate Ron knows that (2.4)(5.3) = 12.72, so he thinks that the answer to (−2.4)(5.3) is −12.72. Who is correct, and what mistake did the other student make? –10 2.0 –0.6 0.12 0.3 0.4 –2 + + = –10 + 2.0 – 0.6 + 0.12 = –8.48",COMPARE_AND_CONTRAST,UNCERTAIN,dual_arm,A_positive,COMPARE_AND_CONTRAST,high,INCORRECT_TO_CORRECT,"In problem 3-76, two named students (Jerry and Ron) present different answers/approaches to a multiplication problem, and the prompt asks 'Who is correct, and what mistake did the other student make?' which fits COMPARE_AND_CONTRAST.",INCORRECT_TO_CORRECT,"The paragraph presents two named students with conflicting answers and asks the reader to identify which is correct and what mistake the other made, which fits the INCORRECT_TO_CORRECT pattern (finding and correcting an error)."
cpm_course2_ms,192,"3-95. Huy, Madison, and Ramona are working on the following problem and each begins her work differently. 1 3 _ ÷ 3 _ Work with your team to make sense of each student’s approach to the problem. Then use each of the three approaches to do the following two problems. a. 4 _ ÷ 1 _ b. 2 1 _ ÷ 3 _ HUY MADISON RAMONA There is one in and left over. Then since equals those are really of one group. That means the answer is , that is, divides into pieces of lengths . 1 3_ 1 3_ 5_ 5_ 3_ 3_ 3_ 3_ 1 5_ 1 5_ 6_ 5_ 3_ 4 = 6_ 1 3_ 5_ Since is the same as and is the same as , this problem is really the same as . I can think of this as dividing 11 pieces into groups of 6 or 11 ÷ 6. 1 3_ 3_ 6_ 11_ 11_ 8 ÷ 6_ 1 3_ 8 = 11_ 3_ 4 = 6_ 11 ÷ 6 = 11_ 6 = 1 5_ Since a fraction is division, I can write a super fraction and use a Super Giant One to make an equivalent fraction with a denominator of one. Then I just simplify. 1 3_ 8 ÷ 3_ 4 = 1 3_ 3_ = 11_ 3_ _ _ 11_ 3_ · 4_ 4_ = 44_ 1 = 44_ _ _ 24 = 1 20_ 24 = 1 _ 5_",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMPARE_AND_CONTRAST,"Three students present different valid strategies to solve the same fraction division problem, and all arrive at the correct answer (1 5/6). Because there is no error, conflict, or disagreement to diagnose, this does not represent error-focused pedagogy.",COMPARE_AND_CONTRAST,"The paragraph presents three named students with different solution approaches and asks the reader to examine and use each approach, which fits the compare-and-contrast pattern."
cpm_course2_ms,197,"3-105. Sloan is a fraction wizard and prefers to convert all numbers in any problem to fractions, but her teacher insists that she be able to do Mr. Garcia’s problem with decimals as well. Sloan knows that 9 inches is the same as 3 _ of a foot, so she first wrote Mr. Garcia’s problem as 16 __ 3 _ . “I suppose I could use decimals,” Sloan thought. “I know the decimal equivalent for 3 _ is 0.75.” And then Sloan wrote the division as 16 ___ 0.75 = 16 ___ 75 ___ . “Oops… I’m just back to fractions. What do I do now?” Sloan asked her teammates. a. Which Giant One would you have to multiply by to change Sloan’s fraction to a fraction with integers? Multiply by that fraction and record your answer. b. Decide with your team if “1,600 divided by 75” is the same problem as “16 divided by 0.75.” Explain your reasoning. c. Write a note to Sloan explaining your answer to part (a). Include the steps to complete Sloan’s work using the long division algorithm to divide 1,600 _ 75 ⟌ . Show all your work. Write the answer in decimal form. 3-106. Many people have difficulty locating the decimal point in the answer to a problem like 16 _ 0.5 ⟌ . Use your answer to part (b) of problem 3-105 to rewrite 16 _ 0.5 ⟌ with whole numbers. Then, calculate the answer using long division. Do not use a calculator. 3-107. Use your calculator to do the following problems quickly. As you do them, write an equation for each problem. a. 3 divided by 4 b. 1.5 divided by 0.25 c. 15 divided by 2.5 d. 30 divided by 40 e. 0.003 divided by 0.004 f. 0.15 divided by 0.025 g. 3 __ divided by 4 __ h. 0.0015 divided by 0.00025 What do you notice about these problems? How can you explain the similarities and differences? 3-108. Eloise wants to divide 0.07 ÷ 0.4 and thinks she sees a shortcut. “Can I just divide 7 by 4?” she wonders. a. What do you think? Will her shortcut work? Discuss this with your team and be prepared to explain why or why not. b. Determine the answer to 0.07 ÷ 0.4, and show how you calculated it.",NA,UNCERTAIN,dual_arm,B_boundary,NA,medium,COMMON_ERROR_ALERT,"The text contains several inquiry-based problems where characters get stuck or hypothesize shortcuts (like Eloise in 3-108), and mentions that 'Many people have difficulty locating the decimal point', but it does not showcase a student's explicit error to fix or provide a direct error warning.",INCORRECT_TO_CORRECT,"The paragraph presents Sloan's incorrect work and asks the reader to correct it (e.g., determine the correct multiplier, explain equivalence, write a corrective note). This matches the INCORRECT_TO_CORRECT pattern."
cpm_course2_ms,201,"3.3.3 How can I evaluate numerical expressions? ARITHMETIC PROPERTIES Launch Today, your teacher has a Which One Is Unique? activity planned. Be prepared to follow your teacher’s instructions on how to participate in this Math Chat. Explore As you have seen in this chapter, there is a lot to consider when operating with different kinds of numbers. In this lesson, you will put together much of your understanding of operations with integers and evaluating numerical expressions to draw conclusions about order and grouping of operations. 3-118. Juno was working on evaluating the expression 24 + 3 + (−4) + 7. “I know!” he exclaimed. “It must be equal to 30, because 20 plus 10 is 30.” a. Is Juno correct? Is the value of the expression 30? b. How could Juno have seen 20 and 10 in this expression? Discuss this with your team and be prepared to share your ideas with the class. 2.23 4.15 ÷ 2 1_ 3_ Lesson Focus LANGUAGE OBJECTIVE Speak: I can justify strategies for multiplying, adding, subtracting, and dividing numbers using commutative and associative properties with classmates. STANDARDS FOR MATHEMATICAL PRACTICE 1: Make sense of problems and persevere in solving them. 2: Reason abstractly and quantitatively. 3: Construct viable arguments and critique the reasoning of others. 6: Attend to precision. 7: Look for and make use of structure. MAJOR CONCEPTUAL IDEAS • Knowns and Unknowns",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,INCORRECT_TO_CORRECT,"The text features a student (Juno) proposing a strategy that is actually correct (grouping 24 and -4 to make 20, and 3 and 7 to make 10), rather than showcasing an error or contrasting competing incorrect ideas.",INCORRECT_TO_CORRECT,"The paragraph presents a named student (Juno) with incorrect reasoning and asks the reader to determine if his answer is correct, which fits the pattern of showing a student's wrong work and asking to find/correct the error."
