book,para_num,paragraph,final_label,status,verification,tier,gemini_label,gemini_confidence,gemini_considered,gemini_reasoning,gpt_oss_or_label,gpt_oss_or_reasoning
ck12_algebra1_hs,1,"Learning Objectives: 
• Evaluate algebraic expressions.
• Evaluate algebraic expressions with exponents.",NA,CONFIRMED,dual_arm,C_control,NA,high,,"The text merely states standard learning objectives for a lesson, with no error-related content or pedagogy present.",NA,"The paragraph only lists learning objectives and contains no mention of errors, mistakes, or student work to correct."
ck12_algebra1_hs,2,"Introduction - The Language of Algebra

No one likes doing the same problem over and over again—that’s why mathematicians invented algebra. Algebra takes the basic principles of math and makes them more general, so we can solve a problem once and then use that solution to solve a group of similar problems.

In arithmetic, you’ve dealt with numbers and their arithmetical operations (such as +, −, ×, ÷). In algebra, we use symbols called variables (which are usually letters, such as x, y, a, b, c, ...) to represent numbers and sometimes processes.

For example, we might use the letter x to represent some number we don’t know yet, which we might need to figure out in the course of a problem. Or we might use two letters, like x and y, to show a relationship between two numbers without needing to know what the actual numbers are. The same letters can represent a wide range of possible numbers, and the same letter may represent completely different numbers when used in two different problems.

Using variables offers advantages over solving each problem “from scratch.” With variables, we can:
• Formulate arithmetical laws such as a+b = b+a for all real numbers a and b.
• Refer to “unknown” numbers. For instance: find a number x such that 3x+1 = 10.
• Write more compactly about functional relationships such as, “If you sell x tickets, then your profit will be 3x−10 dollars, or “ f(x) = 3x−10,” where “ f ” is the profit function, and x is the input (i.e. how many tickets you sell).",NA,UNVERIFIED,single_arm,C_unsampled,NA,high,,"This text provides standard introductory conceptual explanations about algebra and variables, without mentioning student errors, comparisons of differing methods, or warnings about common mistakes.",,
ck12_algebra1_hs,3,"Example 1

Write an algebraic expression for the perimeter and area of the rectangle below.

To find the perimeter, we add the lengths of all 4 sides. We can still do this even if we don’t know the side lengths in numbers, because we can use variables like l and w to represent the unknown length and width. If we start at the top left and work clockwise, and if we use the letter P to represent the perimeter, then we can say:

P = l + w + l + w

We are adding 2 l’s and 2 w’s, so we can say that:

P = 2 · l + 2 · w

It’s customary in algebra to omit multiplication symbols whenever possible. For example, 11x means the same thing as 11 · x or 11 × x. We can therefore also write:

P = 2l + 2w

Area is length multiplied by width. In algebraic terms we get:

A = l × w → A = l · w → A = lw

Note: 2l + 2w by itself is an example of a variable expression; P = 2l + 2w is an example of an equation. The main difference between expressions and equations is the presence of an equals sign (=).

In the above example, we found the simplest possible ways to express the perimeter and area of a rectangle when we don’t yet know what its length and width actually are. Now, when we encounter a rectangle whose dimensions we do know, we can simply substitute (or plug in) those values in the above equations. In this chapter, we will encounter many expressions that we can evaluate by plugging in values for the variables involved.",NA,UNVERIFIED,single_arm,C_unsampled,NA,high,,"The text presents a standard worked example demonstrating how to formulate algebraic expressions for the perimeter and area of a rectangle. There is no mention of errors, misconceptions, or student disagreements.",,
ck12_algebra1_hs,4,"Evaluate Algebraic Expressions

When we are given an algebraic expression, one of the most common things we might have to do with it is evaluate it for some given value of the variable. The following example illustrates this process.",NA,UNVERIFIED,single_arm,C_unsampled,NA,high,,This is standard textbook instructional text introducing a mathematical topic and example without mentioning errors or contrasting approaches.,,
ck12_algebra1_hs,5,"Example 2

Let x = 12. Find the value of 2x − 7.

To find the solution, we substitute 12 for x in the given expression. Every time we see x, we replace it with 12.

2x − 7 = 2(12) − 7
= 24 − 7
= 17

Note: At this stage of the problem, we place the substituted value in parentheses. We do this to make the written-out problem easier to follow, and to avoid mistakes. (If we didn’t use parentheses and also forgot to add a multiplication sign, we would end up turning 2x into 212 instead of 2 times 12!)",COMMON_ERROR_ALERT,CONFIRMED,dual_arm,A_positive,COMMON_ERROR_ALERT,high,NA,The note explicitly explains a specific error that occurs when parentheses are omitted (turning 2x into 212 instead of 2 times 12) to help the reader avoid this mistake.,COMMON_ERROR_ALERT,"The paragraph contains a warning about a specific mistake (forgetting parentheses and multiplication sign) that students might make, which matches the COMMON_ERROR_ALERT pattern."
ck12_algebra1_hs,6,"Example 3

Let y = −2. Find the value of 7/y − 11y + 2.

Solution

7 / (−2) − 11(−2) + 2 = −3 1/2 + 22 + 2
= 24 − 3 1/2
= 20 1/2",NA,CONFIRMED,dual_arm,C_control,NA,high,,"The text shows a standard worked example evaluating an algebraic expression with a negative value, with no errors or error analysis involved.",NA,"The paragraph presents a straightforward example with a solution and does not ask the reader to find or correct an error, compare approaches, or warn about common mistakes."
ck12_algebra1_hs,7,"Many expressions have more than one variable in them. For example, the formula for the perimeter of a rectangle in the introduction has two variables: length (l) and width (w). In these cases, be careful to substitute the appropriate value in the appropriate place.",NA,UNCERTAIN,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"The text gives general advice to 'be careful to substitute the appropriate value', but does not describe or warn against a specific error or mistake that students commonly make.",COMMON_ERROR_ALERT,"The paragraph warns readers to be careful about substituting values, which is a warning about a common mistake."
ck12_algebra1_hs,8,"Example 4

The area of a trapezoid is given by the equation A = h/2 (a + b). Find the area of a trapezoid with bases a = 10 cm and b = 15 cm and height h = 8 cm.

To find the solution to this problem, we simply take the values given for the variables a, b, and h, and plug them in to the expression for A:

A = h/2 (a + b)  Substitute 10 for a, 15 for b, and 8 for h.
A = 8/2 (10 + 15)  Evaluate piece by piece. 10 + 15 = 25; 8/2 = 4.
A = 4(25) = 100

Solution: The area of the trapezoid is 100 square centimeters.",NA,UNVERIFIED,single_arm,C_unsampled,NA,high,,This is a standard worked example showing step-by-step substitution into a formula with no mention or focus on errors.,,
ck12_algebra1_hs,9,"Evaluate Algebraic Expressions with Exponents

Many formulas and equations in mathematics contain exponents. Exponents are used as a short-hand notation for repeated multiplication. For example:

2 · 2 = 2^2
2 · 2 · 2 = 2^3

The exponent stands for how many times the number is used as a factor (multiplied). When we deal with integers, it is usually easiest to simplify the expression. We simplify:

2^2 = 4
2^3 = 8

However, we need exponents when we work with variables, because it is much easier to write x^8 than x · x · x · x · x · x · x · x.

To evaluate expressions with exponents, substitute the values you are given for each variable and simplify. It is especially important in this case to substitute using parentheses in order to make sure that the simplification is done correctly.

For a more detailed review of exponents and their properties, check out the video at http://www.mathvids.com/lesson/mathhelp/863-exponents—basics .",NA,CONFIRMED,dual_arm,B_boundary,NA,high,COMMON_ERROR_ALERT,"This text provides standard instructional exposition on exponents and algebraic expressions, including general advice on using parentheses during substitution, with no specific discussion or alerts about student errors.",NA,"The paragraph only explains exponents and how to evaluate expressions; it does not present errors, compare student work, or warn about common mistakes."
ck12_algebra1_hs,10,"Example 5

The area of a circle is given by the formula A = πr^2. Find the area of a circle with radius r = 17 inches.

Substitute values into the equation.

A = πr^2  Substitute 17 for r.
A = π(17)^2
π · 17 · 17 ≈ 907.9202... Round to 2 decimal places.

The area is approximately 907.92 square inches.",NA,CONFIRMED,dual_arm,C_control,NA,high,,This is a standard worked example showing the correct steps to calculate the area of a circle with no mention or depiction of errors.,NA,"The paragraph presents a standard worked example with a straightforward calculation and no mention of errors, student work, or warnings."
ck12_algebra1_hs,11,"Example 6

Find the value of (x^2 y^3)/(x^3 + y^2), for x = 2 and y = −4.

Substitute the values of x and y in the following.

(x^2 y^3)/(x^3 + y^2) = ((2)^2 (−4)^3)/((2)^3 + (−4)^2)  Substitute 2 for x and −4 for y.
= 4(−64)/(8 + 16) = −256/24 = −32/3

Evaluate expressions: (2)^2 = (2)(2) = 4 and (2)^3 = (2)(2)(2) = 8. (−4)^2 = (−4)(−4) = 16 and (−4)^3 = (−4)(−4)(−4) = −64.",NA,UNVERIFIED,single_arm,C_unsampled,NA,high,,The text is a standard worked example demonstrating how to evaluate an algebraic expression step-by-step with no mention or focus on errors.,,
