book,para_num,final_label,status,verification,tier,source_file,paragraph,final_label,gemini_label,gemini_confidence,gemini_considered,gemini_reasoning,gpt_oss_or_label,gpt_oss_or_reasoning
cpm_course2_ms,52,INCORRECT_TO_CORRECT,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"1-83. DaMarr also kept track of the number of heads he flipped. He wrote his experimental probability of flipping heads as the fraction 7 __ . He wants to rewrite 7 __ as a percent. To do so, he knows that he needs to rewrite it as a portion of 100. He started by drawing the picture shown to represent 7 __ . a. As he looked at his picture, DaMarr realized that he could adjust his drawing to show 100 parts instead of 20. DaMarr then drew a new diagram. How many of the 100 parts are shaded? Explain your reasoning. b. Explain how DaMarr can use his new picture to write 7 __ as a percent. c. Use a similar strategy to rewrite 3 __ as a percent. Show your steps. 1-84. Randy was playing “Double Heads,” a game in which he would flip two coins at a time. He recorded the number of times he flipped two heads at the same time. He flipped the coins 50 times, and there were 20 times when both coins landed heads-up, which he recorded as 20 __ . a. How does 20 __ compare to 50%? b. Randy claims, “ 20 __ is equivalent to 70 ___ because if I add 50 to the denominator to get 100 and add 50 to the numerator to get 70, the fraction becomes 70 ___ .” Explain to Randy why 20 __ and 70 ___ are not equivalent fractions. 1-85. Three students invented a game in which they flip coins for one minute and then determine who flipped the highest percentage of heads. After their first round, each of them thinks that they were the winner of the game. Here is what they reported: • “I think I won,” said Maria, “Of my flips, 12 __ were heads.” • Autymn said, “I flipped my coin 40 times and had a total of 18 heads. Since both of my numbers are larger than yours, I must have won.” • Kumar reported, “I recorded 44% of my flips as heads.” Help the students determine their percentages of heads. Explain your reasoning. NOTE: This stoplight icon will appear periodically throughout the text. Problems with this icon may be used to highlight common errors. Discover and correct the error.",INCORRECT_TO_CORRECT,INCORRECT_TO_CORRECT,high,COMPARE_AND_CONTRAST,"In problem 1-84, a student named Randy presents an incorrect claim/method (adding 50 to both numerator and denominator), and the reader is asked to explain why his reasoning is wrong, fitting INCORRECT_TO_CORRECT.",INCORRECT_TO_CORRECT,"The paragraph asks the reader to explain why Randy's claim about equivalent fractions is wrong, i.e., to correct a named student's mistaken reasoning."
cpm_course2_ms,61,COMPARE_AND_CONTRAST,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"1-105. Justin is working on a new problem: 1 _ + 1 _ . He drew the picture shown to represent the problem. a. Could you name Justin’s sum as a single fraction? Would he be correct to name it 2 _ ? b. Kermit sees Justin’s work and says, “You need to make all of the pieces the same size before you try to write the sum. You can use a Giant One to rewrite 1 _ and 1 _ each as sixths.” He writes: Finish Kermit’s work to rewrite each fraction so that its denominator is 6. c. What is the sum of the new fractions? Fix Justin’s picture or draw a new diagram to explain why your answer makes sense. d. Discuss with your team why Kermit might have chosen to rewrite each fraction as sixths. Could he have used a different number? Be ready to share your thoughts. 1-106. Before you can write the sum of two fractions, they must be rewritten so that both wholes have an equal number of parts. In other words, they must be rewritten to have a common denominator. Three students were adding the fractions 1 _ + 5 __ . They each used a different common denominator: a. Who is correct? Can any number be a common denominator? Explain your reasoning. b. Which of their common denominators is easiest to work with? Why? c. Record at least three different common denominators you could use to add 3 __ + 1 _ . + = 1_ 3 · _ = _ 1_ 2 · _ = _ LILY ARMANDO JOSUE 1_ 4 + 5_ = 12_ 48 + 20_ = 32_ 1_ 4 + 5_ = 3_ 12 + 5_ = 8_ 1_ 4 + 5_ = 6_ 24 + 10_ = 16_",COMPARE_AND_CONTRAST,COMPARE_AND_CONTRAST,high,INCORRECT_TO_CORRECT,"The text presents multiple students (Lily, Armando, Josue) demonstrating different approaches to finding a common denominator, asking 'Who is correct?' and comparing which is easiest to work with.",COMPARE_AND_CONTRAST,"The paragraph presents several named students (Justin, Kermit, three other students) who use different methods or denominators, and asks the reader to determine who is correct and compare approaches."
cpm_course2_ms,70,INCORRECT_TO_CORRECT,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"1.2.8 What part is missing? SUBTRACTING PROBABILITIES Launch Mathematicians construct viable arguments and critique the reasoning of others. Your teacher will display an image for a Which One Is Unique? activity. Be prepared to construct an argument for which one you believe is unique. Explore In Lesson 1.2.7, you calculated probabilities for single events and combinations of events when either one outcome or another is desirable. You have also compared those probabilities to decide which outcomes are most likely. In this lesson, you will work with your team to apply your knowledge of fractions to represent and calculate the probabilities of a variety of events. As you work, ask each other these questions to focus your discussion: • How can probabilities be combined? • How can the answer be rewritten in a different form? 1-129. Eustice is adding fractions. Here is his work: a. How do you think Eustice got his answer? Does his answer make sense? Discuss Eustice’s work with your team. Then explain your reasoning with diagrams and words. b. Help Eustice by showing your work to correctly add the fractions. Lesson Focus LANGUAGE OBJECTIVE Speak or Diagram: I can explain how to calculate the probability of compound events to teammates. STANDARDS FOR MATHEMATICAL PRACTICE 1: Make sense of problems and persevere in solving them. 3: Construct viable arguments and critique the reasoning of others. 6: Attend to precision. 7: Look for and make use of structure. MAJOR CONCEPTUAL IDEAS • Knowns and Unknowns • Probability and Data • Proportional Relationships 1_ 2 + 2_ 4 = 3_",INCORRECT_TO_CORRECT,INCORRECT_TO_CORRECT,high,EXPLICIT_ERROR_DETECTION,"A named student (Eustice) shows incorrect fraction addition work, and students are asked to explain what he did and help him by correctly adding the fractions.",INCORRECT_TO_CORRECT,"The paragraph presents a named student's work (Eustice) and asks students to discuss his answer, determine if it makes sense, and then correct it, fitting the INCORRECT_TO_CORRECT pattern."
cpm_course2_ms,71,COMPARE_AND_CONTRAST,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"1-130. Lindsay has a paper bag full of Fruiti Tutti Chews in different fruit flavors. She says, “If you reach into the bag, you have a 1 _ chance of pulling out a Killer Kiwi. There is a 3 _ chance that you will get Cool Coconut.” a. If you reach into the bag, what is P(coconut or kiwi)? b. Is there another flavor in the bag? How can you tell? If so, assuming that there is only one other flavor, what is the probability of getting that flavor? c. How many candies might Lindsay have in the bag? Is there more than one possibility? Assume that all candies in the bag are whole candies. 1-131. Lyle asked for a challenge problem, and his teacher gave him this one: There is a 2 _ chance of drawing a red marble out of a bag of marbles. If the probability of drawing a red or a blue marble is 2 _ , what is the probability of drawing a blue marble? When Lyle’s teammates saw the challenge he was working on, they each had a different idea for how he should start. • Mayra suggested that he start by rewriting 2 _ and 2 _ so that they have a common denominator. • Kenessa disagreed. “You want to set up a subtraction problem,” she said. She wrote the expression 2 _ − 2 _ to show Lyle her idea. • Darren had a different idea. “The probability that you would draw either red or blue is the same as the probability of drawing red added to the probability of drawing blue,” he said. He wrote the equation 2 _ = 2 _ + ? to show his idea. a. Which way would you suggest to Lyle as he starts working to determine P(blue)? • Discuss your ideas with your team. • Write a clear explanation of which method you recommend and why. • Include your ideas about whether the other strategies will solve the problem and why you did not choose them. b. What is the probability of drawing a blue marble? Explain your reasoning. 1-132. Louise is playing a game, but the spinner is incomplete. Each section of the spinner is labeled with the probability of spinning it. What fraction is missing? ? 1_ 1_ 2_",COMPARE_AND_CONTRAST,COMPARE_AND_CONTRAST,high,NA,"Problem 1-131 shows multiple named students (Mayra, Kenessa, Darren) proposing different methods and equations to solve a problem, and asks the reader to evaluate, compare, and recommend a strategy.",COMPARE_AND_CONTRAST,"The paragraph presents multiple named students offering different solution strategies and asks the reader to compare and recommend one, fitting the COMPARE_AND_CONTRAST pattern."
cpm_course2_ms,141,INCORRECT_TO_CORRECT,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"Review & Preview 2-119. Troy is a fan of baseball, and their favorite player is Moe Jauer of the Minnesota Triplets. Troy made a table displaying how many home runs Jauer hit during his first five seasons. Graph Troy’s data. 2-120. Sara turned in the two graphs shown for homework, but her teacher marked them as being incorrect. Explain to Sara what mistakes she made. Then choose one of her graphs, copy it, and correct it. a. b. 2-121. If a set of xy-axes has 20 grid units in each direction and the greatest value of the data to be placed on the horizontal axis is 132, what would be an appropriate and convenient scale to use for this axis? Explain. Season Number of Home Runs x y y x",INCORRECT_TO_CORRECT,INCORRECT_TO_CORRECT,high,EXPLICIT_ERROR_DETECTION,"Item 2-120 explicitly presents a named student's (Sara's) incorrect homework, asking the reader to explain what mistakes she made and then correct one of the graphs.",INCORRECT_TO_CORRECT,"The paragraph describes Sara's incorrect graphs and asks the reader to explain her mistakes and correct one, which matches the INCORRECT_TO_CORRECT pattern."
cpm_course2_ms,153,INCORRECT_TO_CORRECT,UNCERTAIN,dual_arm,A_positive,paragraphs_stitched.csv,"3-1. Katrina wrote the following set of instructions for Cecil: 4 · 2.5 + 1. a. If Cecil the acrobat follows Katrina’s instructions, how far will he go? Draw a diagram of Cecil’s movements and show how far he will move. b. Katrina drew the diagram shown. How was she thinking about Cecil’s moves? Write an expression to represent Katrina’s diagram. c. Explain why Katrina’s diagram in part (b) will not give her the correct length for 4 ⋅ 2.5 + 1. d. Cecil changed Katrina’s set of instructions so that the length of 1 foot came first, as shown in the diagram. Write an expression to represent this new diagram. How far does Cecil move here? Does this give the same length as 4 · 2.5 + 1? 3-2. Cecil’s trainers proposed each of the following movements. Which one requires the longest rope? Draw diagrams to justify your answer. MOVEMENT 1 MOVEMENT 2 MOVEMENT 3 8 + 2(6.48) feet 2 + 8(6.48) feet (8 + 2)6.48 feet 3-3. The expression 5 + 3 · 4 + 2 can be used to represent the group of “+” tiles shown. a. How does each part of the expression connect with the groups of “+” tiles? How many tiles are there? b. Each group of “+” tiles is represented by a different part of the expression, also called a numerical term. Numerical terms are single numbers or products of numbers. It is often useful to circle terms in an expression to keep track of separate calculations. For example, each term circled in the expression shown represents a separate part of the collection of “+” tiles. Circle the terms in the following expression. What does each term describe about collections of “+” or “−” tiles? 4 · 5 + 1 + 3(−2) + 6 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 + + + + + + + + + + + + + + + + + + + 5 + 3 · 4 + 2",INCORRECT_TO_CORRECT,INCORRECT_TO_CORRECT,high,EXPLICIT_ERROR_DETECTION,"In problem 3-1, Katrina's incorrect diagram representing 4 · 2.5 + 1 is analyzed, and the student is explicitly asked to explain why her diagram will not give the correct length, matching INCORRECT_TO_CORRECT.",EXPLICIT_ERROR_DETECTION,"The paragraph includes a prompt that states Katrina’s diagram will not give the correct length and asks the reader to explain why, which is an explicit request to identify and discuss an error."
cpm_course2_ms,183,COMPARE_AND_CONTRAST,UNCERTAIN,dual_arm,A_positive,paragraphs_stitched.csv,"3-74. When multiplying decimals, how do you know where to place the decimal point? Think about this as you do parts (a) through (d). a. Write two equations for multiplying 0.3 by 0.16. One equation should express the factors and product using decimals, and one using fractions. b. In part (a), you multiplied tenths by hundredths to get thousandths. Do you always get thousandths if you multiply tenths by hundredths? Why or why not? What do you get if you multiply tenths by tenths? Hundredths by hundredths? Use several examples to justify your answers. c. When a multiplication problem is written using decimals, there is a relationship between the number of decimal places in the parts (or factors) of the problem and the number of decimal places in the answer (or product). Describe this relationship. d. Describe a shortcut for locating the decimal point in the answer to a problem involving decimal multiplication. 3-75. For each of the following problems, use a hundredths grid if needed. Write both a fraction and a decimal equation with your answer. a. (0.3)(0.6) b. (0.5)(−0.4) c. (−0.2) · (−0.7) 3-76. Jerry’s teacher gave him the problem (−2.4)(5.3). He decided to use an area model to determine the answer. He used the area model shown and determined that (−2.4)(5.3) = −8.48. Jerry’s teammate Ron knows that (2.4)(5.3) = 12.72, so he thinks that the answer to (−2.4)(5.3) is −12.72. Who is correct, and what mistake did the other student make? –10 2.0 –0.6 0.12 0.3 0.4 –2 + + = –10 + 2.0 – 0.6 + 0.12 = –8.48",COMPARE_AND_CONTRAST,COMPARE_AND_CONTRAST,high,INCORRECT_TO_CORRECT,"In problem 3-76, two named students (Jerry and Ron) present different answers/approaches to a multiplication problem, and the prompt asks 'Who is correct, and what mistake did the other student make?' which fits COMPARE_AND_CONTRAST.",INCORRECT_TO_CORRECT,"The paragraph presents two named students with conflicting answers and asks the reader to identify which is correct and what mistake the other made, which fits the INCORRECT_TO_CORRECT pattern (finding and correcting an error)."
cpm_course2_ms,185,COMPARE_AND_CONTRAST,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"3-79. Mentally calculate the following products. a. (−0.04)(−0.1) b. (0.03)(−0.02) c. (0.7)(0.4) d. Stacey said, “Stephanie, look at my answer to the last problem, 0.7 · 0.4 = 0.28. Usually when I multiply, I get a bigger answer than the numbers I start with, but twenty-eight hundredths, 0.28, is less than either 0.4 or 0.7. I must have made a mistake.” Stephanie responded, “Well, one-half times one-half is one-fourth, and one-fourth is less than one-half. I think when you multiply by a fraction or decimal less than one, you get less than you started with.” Write a sentence or two about who you think is correct and why. 3-80. The highest point in the United States is Mount McKinley, also called Denali, in Alaska. Its summit is 20,335 feet above sea level. Badwater, a basin located in Death Valley, is the lowest point in the United States, at 282 feet below sea level. How high is the summit of Denali above the Death Valley location? Show your calculation using absolute value symbols. 3-81. Calculate the mean, range, and median of these values: 12, 4, −2, 0, 9, −2, 1, 7, 8, 2. Recall that the range is calculated by determining the difference between the largest and smallest data values. 3-82. Calculate the product for each multiplication problem. a. 5 _ · 2 _ b. 3 _ · 2 _",COMPARE_AND_CONTRAST,COMPARE_AND_CONTRAST,high,INCORRECT_TO_CORRECT,"In part d of 3-79, two named students (Stacey and Stephanie) debate a mathematical idea about multiplication resulting in a smaller number, and the student is asked who is correct and why.",COMPARE_AND_CONTRAST,"The paragraph presents a dialogue between two named students (Stacey and Stephanie) who disagree about the result of multiplying decimals less than one, and asks the reader to decide who is correct, which matches the compare-and-contrast pattern."
cpm_course2_ms,200,EXPLICIT_ERROR_DETECTION,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"3-115. Each problem has an error in the answer. Identify the error, explain how to correct the mistake, and correct it. a. b. c. d. e. f. 3-116. This problem is a checkpoint for multiplication of fractions and decimals. It will be referred to as Checkpoint 3. Multiply each pair of fractions or each pair of decimals. a. 3 _ · 3 _ b. 9 ___ · 4 _ c. 3 1 _ · 1 1 _ d. 2 1 _ · 3 1 _ e. 3.62 · 3.4 f. 0.26 · 0.0008 Check your answers. Do you feel confident working with multiplication of fractions and decimals? For extra support, refer to the review materials and practice problems that are available in the Checkpoint Materials. 3-117. Complete the following division problems using any method. a. 6 _ ÷ (− 3 _ ) b. 7 _ ÷ 3 _ c. − 4 _ ÷ 5 11 __ d. − 2 _ ÷ (−1 1 _ ) × 0.5 467.92 + 1.293 479.85 – 62.837 38.837 1.234 × 0.003 0.3702 4,006.3 – 34.98 3,971.48 45.6 32.87 + 0.003 374.6",EXPLICIT_ERROR_DETECTION,EXPLICIT_ERROR_DETECTION,high,INCORRECT_TO_CORRECT,"The text explicitly states that each problem has an error in the answer and instructs the reader to identify and correct the error, without naming a fictional student.",EXPLICIT_ERROR_DETECTION,"The paragraph states that each problem contains an error and asks the reader to identify and correct it, without naming a student, matching explicit error detection rather than a named student's work."
cpm_course2_ms,203,COMPARE_AND_CONTRAST,CONFIRMED,dual_arm,A_positive,paragraphs_stitched.csv,"3-122. Maria and Jorge were trying to evaluate the expression (− 4 _ ) · 1 2 _ · (− 3 _ ). Her work is shown. Jorge had a different idea. He multiplied (− 4 _ ) · (− 3 _ ) first. a. Evaluate the expression 1 2 _ · (− 4 _ ) · (− 3 _ ) using Jorge’s method. Is your answer equal to Maria’s? b. Jorge used the Commutative Property of Multiplication. Why might Jorge have decided to multiply (− 4 _ ) · (− 3 _ ) first? c. In a multiplication problem, the factors can be grouped together in different ways. This is called the Associative Property of Multiplication. Use this property and show that ( 3 _ · 2 _ ) · (−2) and 3 _ · ( 2 _ · (−2)) are equivalent. d. Evaluate each expression. First decide if you want to group some factors together. i. (−9) · 1 _ · 3 _ ii. − 5 __ · 3 _ · 4 _ iii. −8.1 · 5 · 2 3-123. Use the integers −6, 2, −3, and 1 once each with any of the four operations or parentheses to make: a. The largest possible answer. b. Zero or the closest number to zero. c. The smallest possible answer. = 84_ = 1 24_ = 1 2_ – 4_ 3 · 1 2_ 5 · – 3_ = – 4_ 3 · 7_ 5 · – 3_ = – 4_ 3 · – 21_",COMPARE_AND_CONTRAST,COMPARE_AND_CONTRAST,medium,NA,"Maria and Jorge present two different approaches to evaluating the same expression using properties of multiplication, prompting students to compare their methods.",COMPARE_AND_CONTRAST,"The paragraph presents two named students (Maria and Jorge) using different methods to evaluate an expression and asks the reader to compare the results, fitting the compare-and-contrast pattern."
